Course Name,Description,Rate,Instructor,Price,Total Hours,lectures,Level,Number Of Rated Users,Bestseller,Original Price,Price Value,Price Currency,Business Exception,New Price,_Price
C and Embedded C Programming,Learn C Programming for Embedded Systems. Take a deep-dive into C language and learn how to apply it to Embedded Systems,4.1,"Instructor:
Uplatz Training",E£199.99,10,14,All Levels,,,E£269.99,199.99,E£,Business Exception,6170.626349892009,6170.626349892009USD
Learn and Master C Programming For Absolute Beginners!,"Become C code expert in Visual Studio on Windows! Learn about arrays, pointers, files, strings, dynamic memory and more!",4.0,"Instructor:
Mohammad El-Haj",E£199.99,14,150,All Levels,,,E£269.99,199.99,E£,Business Exception,6170.626349892009,6170.626349892009USD
C Programming Language Certification,Test your knowledge in C through this practical based practice test before taking a Certification exam,3.0,"Instructor:
Growth Central",E£199.99,,,,,,E£269.99,199.99,E£,Business Exception,6170.626349892009,6170.626349892009USD
Asynchronous Programming Design Patterns - C/C++,"System Programming, C/++, Multithreading Concepts, Thread Synchronization, Operating System Project Courses, Event Loops",4.8,"Instructors:
Abhishek CSEPracticals, Ekta Ekta, Shiwani Nigam",E£599.99,5.5,52,Intermediate,,,E£799.99,599.99,E£,Business Exception,18512.49614316569,18512.49614316569USD
C/C++ Pointers & Applications,"Learn the applications of pointers such as usage in dynamic arrays, linked lists, function pointers, callbacks, etc",4.7,"Instructor:
Umar Lone",E£199.99,7,81,Intermediate,,,E£269.99,199.99,E£,Business Exception,6170.626349892009,6170.626349892009USD
C Language || Matrix in C Language,C Language || Matrix in C Language,4.0,"Instructor:
Zaber Mahmud",E£199.99,2.5,19,Intermediate,,,E£269.99,199.99,E£,Business Exception,6170.626349892009,6170.626349892009USD
Introduction to Computer Programming for Beginners 2023,"Learn the basic principles of Computer Programming and get started with C#, SQL, Java, C, C++ and Python",4.2,"Instructor:
Artemakis Artemiou",E£629.99,8,89,Beginner,,,E£849.99,629.99,E£,Business Exception,19438.136377661216,19438.136377661216USD
C Programming In-Depth For Beginners - Interview Perspective,"C Programming leads to many career opportunities,C being baby step to learn other languages,C 25hrs InterviewPerspective",3.5,"Instructor:
Sonali Shrivastava",E£229.99,25.5,66,Beginner,,,E£319.99,229.99,E£,Business Exception,7096.266584387535,7096.266584387535USD
C Programming the Basics,Start with low-level C programming,4.2,"Instructor:
Frank Anemaet",E£199.99,1,10,Beginner,,,E£269.99,199.99,E£,Business Exception,6170.626349892009,6170.626349892009USD
Introduction to Systems Programming in C,"Learn the basics of Systems Programming: System Calls, File Manipulation, Processes, Threads, Syncronization",4.5,"Instructor:
Matt Sawka",E£199.99,2,11,Beginner,,,E£269.99,199.99,E£,Business Exception,6170.626349892009,6170.626349892009USD
Demystifying Bitwise Operations In C,Important and Common Uses of Lower Level Operations in C and C++,4.3,"Instructors:
Bhalchandra Gholkar, Daryl Newell",E£199.99,2.5,17,Intermediate,,New,E£269.99,199.99,E£,Business Exception,6170.626349892009,6170.626349892009USD
Master C and Embedded C Programming- Learn as you go,"Learn C and Embedded C in a simple, fun and easy way",4.2,"Instructor:
Nerdy Electronics",E£419.99,6,68,All Levels,,,E£549.99,419.99,E£,Business Exception,12958.654736192533,12958.654736192533USD
Embedded C Programming Design Patterns,Design patterns for creating clean and maintainable firmware code for embedded systems,4.5,"Instructor:
Martin Schröder",E£749.99,6,15,Intermediate,,,E£999.99,749.99,E£,Business Exception,23140.69731564332,23140.69731564332USD
gRPC [C#] Master Class: Build Modern API & Microservices,"Better than REST API! Build a fast scalable HTTP/2 API for a .NET microservice with gRPC, Protocol Buffers (protobuf)",4.4,"Instructor:
Clément Jean",E£619.99,4,68,Intermediate,,,E£819.99,619.99,E£,Business Exception,19129.589632829375,19129.589632829375USD
iOS 12 & Xcode 10 - Complete Swift 4.2 & Objective-C Course,A Complete iOS 12 and Xcode 10 Course with Swift 4.2 & Objective-C,4.4,"Instructor:
Aaron Caines",E£229.99,72.5,280,All Levels,,,E£319.99,229.99,E£,Business Exception,7096.266584387535,7096.266584387535USD
65 MCQ /Interview Questions on C Programming,Quiz / MCQ / Interview Questions / Practice Test On C Language,5.0,"Instructor:
Abrar Nayeem",E£199.99,,,,,,E£269.99,199.99,E£,Business Exception,6170.626349892009,6170.626349892009USD
Lua Scripting: Master complete Lua Programming from scratch,Learn complete Lua scripting from scratch and embed Lua with your C and C++ applications,4.7,"Instructors:
Gustavo Pezzi, Pikuma .com",E£749.99,14,114,All Levels,,Bestseller,E£999.99,749.99,E£,Business Exception,23140.69731564332,23140.69731564332USD
"Data Structures & Algorithms using C++, C and Python - 2023","Coding Interview : Learn Arrays, Stacks, Queues, Linked Lists, Trees, Graphs & Algorithms from basics to advanced.",4.7,"Instructor:
Atchyut Kumar",E£199.99,44,222,All Levels,,,E£269.99,199.99,E£,Business Exception,6170.626349892009,6170.626349892009USD
{ C Language } Deep Learning From Ground Up™,Build Artificial Intelligence Applications in C,4.5,"Instructors:
Israel Gbati, BHM Engineering Academy",E£629.99,7.5,51,All Levels,,,E£849.99,629.99,E£,Business Exception,19438.136377661216,19438.136377661216USD
Mastering Data Structure Using C,Let us Master it,3.5,"Instructor:
SACHIN NANDHA SABARISH J",E£519.99,36.5,108,Expert,,,E£679.99,519.99,E£,Business Exception,16044.122184510952,16044.122184510952USD
Intro to C Programming for Aspiring Embedded Developers,Learn Embedded C Programming quickly and easily in this one mini-course.,4.6,"Instructor:
Low Level Learning",E£199.99,1.5,15,Beginner,,,E£269.99,199.99,E£,Business Exception,6170.626349892009,6170.626349892009USD
C Programming 360° Bootcamp: Zero to Hero,"Your complete dose of C programming language basics, along with universal programming concepts & coding exercises.",3.9,"Instructor:
Electrovert Labs",E£749.99,13.5,118,All Levels,,,E£999.99,749.99,E£,Business Exception,23140.69731564332,23140.69731564332USD
C Language + Algorithms + Data Structures = Power,Up and running with c Programming language and algorithms and data structures,3.8,"Instructor:
Nidhal Abidi",E£199.99,17,94,All Levels,,,E£819.99,199.99,E£,Business Exception,6170.626349892009,6170.626349892009USD
Build Remote Procedure Calls (RPC) - from scratch in C,"System Programming Projects - Server Client RPC Model over a Network Sockets, Data Serialization - Windows/Linux",4.8,"Instructors:
Abhishek CSEPracticals, Shiwani Nigam, Ekta Ekta",E£199.99,6.5,66,Intermediate,,,E£649.99,199.99,E£,Business Exception,6170.626349892009,6170.626349892009USD
C Programming Made easy for Beginners -Step by Step Approach,"Solve Online Coding Challenges along with Fundamentals , Arrays, Functions, Recursion, Pointers, Structures and Files.",4.4,"Instructor:
Himayatullah Sharief",E£199.99,23,157,All Levels,,,E£269.99,199.99,E£,Business Exception,6170.626349892009,6170.626349892009USD
Embedded Systems Object-Oriented Programming in C,"End-to-End Firmware and Driver Development: UART,GPIO,TIMER, etc. From Datasheet to Embedded C and C++",4.5,"Instructor:
Israel Gbati",E£629.99,12.5,45,All Levels,,,E£849.99,629.99,E£,Business Exception,19438.136377661216,19438.136377661216USD
The Complete C Programming Course - From Scratch,"Learn C Programming from the basics upto advanced concepts like Pointers, Structures, Dynamic Memory Allocation",4.2,"Instructor:
Sujithkumar MA",E£229.99,7,80,Beginner,,,E£319.99,229.99,E£,Business Exception,7096.266584387535,7096.266584387535USD
PMP Certification: 35+ PDU Formal PMP Exam Prep_New PMP 2023,PMPⓇ Certification: 42 PDU PMP Exam Complete Training / Get the PMP Project Management Certification on the first try!,4.6,"Instructor:
Sabri C. PMP | 120,000+ Enrollments Worldwide",E£349.99,42,363,All Levels,,New,"E£1,699.99",349.99,E£,Business Exception,10798.827522369638,10798.827522369638USD
Bitwise Operators in C In Depth - Hands On,Bitwise Operators in C In Depth - Hands On,4.4,"Instructor:
Sonali Shrivastava",E£229.99,6,10,Intermediate,,,E£319.99,229.99,E£,Business Exception,7096.266584387535,7096.266584387535USD
Complete iOS Bootcamp - Swift & Objective-C,"Beginner to Advanced iPhone / iPad App Development with Swift, Objective-C and Xcode.",4.8,"Instructor:
Amir J",E£229.99,36,217,All Levels,,,E£319.99,229.99,E£,Business Exception,7096.266584387535,7096.266584387535USD
C_FIORDEV_22 SAP Fiori Certification Exam,100% Pass Guarantee: Latest Practice Test Questions of SAP Fiori Application Developer - C_FIORDEV_22,4.2,"Instructor:
Rafael Delfino",E£229.99,,,,,Bestseller,,229.99,E£,Business Exception,7096.266584387535,7096.266584387535USD
C Programming Language for Beginners,Learn C programming language from scratch,4.4,"Instructor:
ATI ENGITECH",E£199.99,7.5,79,All Levels,,,E£269.99,199.99,E£,Business Exception,6170.626349892009,6170.626349892009USD
C Programming in Hindi for Absolute Beginner 2023 (50+QUES.),Learn C Programming Language and Write C Program like a PRO .,4.4,"Instructor:
Daisy prakash khoja",E£199.99,13,91,Beginner,,,E£269.99,199.99,E£,Business Exception,6170.626349892009,6170.626349892009USD
The Complete C Programming Tutorial,Learn complete C Programming basic fundamentals with example codes explained in details,3.9,"Instructor:
Doedu education",E£199.99,4.5,57,Beginner,,,E£269.99,199.99,E£,Business Exception,6170.626349892009,6170.626349892009USD
[Beginner Friendly] Linux C Programming Success Essentials,Learn the fundamentals of C programming from a real industry expert to jumpstart your tech career with C,4.4,"Instructor:
Cary Huang",E£549.99,10,64,Beginner,,,E£749.99,549.99,E£,Business Exception,16969.762419006478,16969.762419006478USD
C Programming Language Refresher Course,"Basic and advanced concepts of C programming on Windows, Linux, or Mac OS. Project-based with pointers and linked lists.",3.9,"Instructor:
Gayatri TR",E£199.99,5,47,All Levels,,,E£269.99,199.99,E£,Business Exception,6170.626349892009,6170.626349892009USD
"C programming, Golden step to become software developer",The C programming language is one of the foundation or base-language of many programming languages today.,4.5,"Instructors:
Chand Sheikh, Easy2Byte by StudyEasy",E£199.99,5.5,79,Beginner,,,E£269.99,199.99,E£,Business Exception,6170.626349892009,6170.626349892009USD
Part B (ADVANCE) Multithreading Design Patterns ( pthreads ),"Linux POSIX Threads ( Pthreads ), thread Synchronization, Operating System Concepts, C/C++ programming with Projects",4.4,"Instructors:
Abhishek CSEPracticals, Shiwani Nigam, Ekta Ekta",E£619.99,8.5,76,Intermediate,,,E£819.99,619.99,E£,Business Exception,19129.589632829375,19129.589632829375USD
From 0 to 1: C Programming - Drill Deep,C Programming is still a very useful skill to have - and this is the course to pick it up!,4.6,"Instructor:
Loony Corn",E£229.99,12,60,All Levels,,,E£319.99,229.99,E£,Business Exception,7096.266584387535,7096.266584387535USD
Data Structures And Algorithms In The C Programming Language,"Linked Lists, Array Lists, Stacks, Queues, Trees the lot!",4.6,"Instructor:
Daniel McCarthy",E£199.99,2.5,15,Intermediate,,,E£269.99,199.99,E£,Business Exception,6170.626349892009,6170.626349892009USD
C Programming Language in Hindi- जानें सी प्रोग्रामिं A to Z,जानें C Language in Hindi- Beginner to Advanced Level बेसिक अवधारणाओं को उचित तरीके उदाहरण से C Language Expert,4.3,"Instructor:
Ujjwal Tutorial Keep You Ahead",E£229.99,11.5,65,All Levels,,,E£319.99,229.99,E£,Business Exception,7096.266584387535,7096.266584387535USD
Advanced Data Structures and Algorithms in C ( DSA ),Advanced Data Structures and Algorithms in C Using C DSA Data Structures Algorithms DSA C LeetCode C Data Structures DSA,4.2,"Instructor:
Deepali Srivastava",E£229.99,7,67,All Levels,,,E£319.99,229.99,E£,Business Exception,7096.266584387535,7096.266584387535USD
FreeRTOS From Ground Up™ on ARM Processors (REVISED),RTOS : Build RealTime embedded applications with FreeRTOS. Practice on STM32 and TIVA C boards,4.4,"Instructors:
Israel Gbati, BHM Engineering Academy",Free,23.5,205,All Levels,,,"E£1,199.99",0,,,0,0USD
Data Structures and Algorithms in C for Beginners,"Learn, understand and implement DSA in C Programming",4.4,"Instructor:
Sujithkumar MA",E£229.99,10.5,69,All Levels,,,E£319.99,229.99,E£,Business Exception,7096.266584387535,7096.266584387535USD
Learning Objective-C Programming,Learn how to create code with the C-based programming language at the heart of Mac and iOS applications.,3.5,"Instructor:
Infinite Skills",E£199.99,6.5,74,Intermediate,,,E£479.99,199.99,E£,Business Exception,6170.626349892009,6170.626349892009USD
Prokon Civil Engineering Structural Design R.C.C Element,"Modeling, analysis and design of R.C.C element using Prokon Software according to ACI code",3.9,"Instructor:
Ahmad Traboulsi",E£419.99,3,15,All Levels,,,E£549.99,419.99,E£,Business Exception,12958.654736192533,12958.654736192533USD
C Programming for Beginners - Complete Tutorial,"Become a comfortable & confident C Programmer with clear, concise, hands-on tutorial quickly and easily. Learn Pointers!",4.3,"Instructor:
Sandip Bhattacharya",E£199.99,8.5,114,All Levels,,,E£269.99,199.99,E£,Business Exception,6170.626349892009,6170.626349892009USD
Snowflake Masterclass[stored proc+demos+Best practices+Labs],Master snowflake cloud data-warehouse with hands on exercises from real time expert.,4.4,"Instructor:
Pradeep H C",E£199.99,24,316,All Levels,,,E£269.99,199.99,E£,Business Exception,6170.626349892009,6170.626349892009USD
Update to C++17,Learn about the new features in C++17!,4.9,"Instructor:
James Raynard",E£199.99,6,65,Intermediate,,new,E£269.99,199.99,E£,Business Exception,6170.626349892009,6170.626349892009USD
C Programming Language Basic to Advanced for Beginners,"Latest 2020 C Programming Course, Basic to Advance C, Covers Academic Syllabus of Computer Science for C.",3.7,"Instructor:
Jaspreet Kaur",E£229.99,5.5,89,All Levels,,,E£319.99,229.99,E£,Business Exception,7096.266584387535,7096.266584387535USD
Learn C Programming (Beginners to Expert ),If you’re ready to buckle down and learn C Programming here’s where you should start.,4.4,"Instructor:
Programming Knowledge",E£199.99,6,30,Beginner,,,E£269.99,199.99,E£,Business Exception,6170.626349892009,6170.626349892009USD
Mastering C++ Programming - From Zero to Hero,"Modern C++ with C++11 to C++17, In-depth coverage of OOPs,Templates,STL,Exception Handling,Basics to Advance C++",4.1,"Instructor:
Himayatullah Sharief",E£529.99,30.5,198,All Levels,,,E£719.99,529.99,E£,Business Exception,16352.668929342795,16352.668929342795USD
"C/C++ Programming, Algorithms & Data Structures Masterclass",Master Fundamental to Advanced Algorithms for Real-World Applications and Interviews: Your Ultimate Programming Journey,4.6,"Instructor:
Daniel-Nicolae Dima",E£579.99,9.5,56,All Levels,,,E£779.99,579.99,E£,Business Exception,17895.402653502006,17895.402653502006USD
C Programming language Certification,Test your knowledge of C with this practice test before taking a Certification exam,3.9,"Instructor:
Fast Growth Tutorials",E£199.99,,,,,,E£269.99,199.99,E£,Business Exception,6170.626349892009,6170.626349892009USD
Introduction to Programming: C/C++,A Master Course from Beginner to Expert,4.5,"Instructor:
Daniel Szelogowski, M.S.",E£229.99,11,35,All Levels,,,E£319.99,229.99,E£,Business Exception,7096.266584387535,7096.266584387535USD
Part B - Network Protocol Development in C ( from Scratch ),"Network Coding Project for Network Core Developers, Linux, System Programming, Operating systems, Projects in C/C++",4.8,"Instructors:
Abhishek CSEPracticals, Shiwani Nigam, Ekta Ekta",E£199.99,8,59,Intermediate,,,E£269.99,199.99,E£,Business Exception,6170.626349892009,6170.626349892009USD
Advanced TCP/IP Socket Programming in C/C++ ( Posix ),"Design Complex TCP Server, C/C++ Project, Multi-Threading, POSIX, Network Systems Programming, Linux OS based",4.1,"Instructors:
Abhishek CSEPracticals, Shiwani Nigam, Ekta Ekta",E£749.99,9.5,86,Intermediate,,,E£999.99,749.99,E£,Business Exception,23140.69731564332,23140.69731564332USD
Arduino under the Hood - AVR for Professionals,"From C, Makefiles, and Compiler to all Registers, Periphery, Fuses, Power Reduction Tricks, ISP, DebugWIRE, and LockBits",4.8,"Instructor:
Dr. Alexander Fell",E£349.99,20,173,Expert,,,,349.99,E£,Business Exception,10798.827522369638,10798.827522369638USD
C_C4H510_21 - SAP Service Cloud 2111 | Exam Questions,115+ Exam Questions to Prepare for the Certification Exam SAP Certified Application Associate – SAP Service Cloud 2111,4.3,"Instructor:
Cert PREP",E£449.99,,,,,,E£619.99,449.99,E£,Business Exception,13884.294970688059,13884.294970688059USD
"C, C++, Java; A Programming MegaPrimer for Beginners","A perfect course for beginners to learn C, C++ and Java in Mobile optimized course",4.0,"Instructor:
Igneus Technologies",E£229.99,12.5,152,All Levels,,,E£319.99,229.99,E£,Business Exception,7096.266584387535,7096.266584387535USD
C Programming Tutorial for Absolute Beginners with Examples,If you’re ready to buckle down and learn C Programming here’s where you should start.,3.8,"Instructor:
Yogesh Patel",E£199.99,5.5,43,All Levels,,,E£269.99,199.99,E£,Business Exception,6170.626349892009,6170.626349892009USD
iOS 11 and Xcode 9 - Complete Swift 4 & Objective-C Course,A Complete iOS 11 and Xcode 9 Course with Swift 4 & Objective-C,4.6,"Instructor:
Aaron Caines",E£219.99,59,246,Beginner,,,E£319.99,219.99,E£,Business Exception,6787.7198395556925,6787.7198395556925USD
Mastering Advanced C Programming: Pointers (In Depth),"Mastering pointers in C programming with Single Pointer,Double,Triple Pointer,Generic,NULL Pointers,Memory Leaks etc.",4.3,"Instructor:
UpDegree Pro",E£199.99,4,25,Intermediate,,,E£269.99,199.99,E£,Business Exception,6170.626349892009,6170.626349892009USD
C Programming For Beginners - with 60 BONUS Simple Programs!,"Learn the C Programming language FAST - onscreen step by step, then IDE, then debugger. Designed for TECHNICAL INTERVIEW",4.3,"Instructor:
LearnGood Academy",E£229.99,12,117,All Levels,,,E£319.99,229.99,E£,Business Exception,7096.266584387535,7096.266584387535USD
8051 Microcontroller - Embedded C and Assembly Language,Hands-on Approach | 25+ code examples | KEIL IDE | Proteus | Flash Magic | 2 Projects | Sensor and display interfacings,4.3,"Instructor:
Smart Logic Academy",E£199.99,8.5,66,All Levels,,,E£269.99,199.99,E£,Business Exception,6170.626349892009,6170.626349892009USD
Linux System programming using C Language,"Beginner to intermediate level|Linux commands,Files,Processes,Signals,Threads,IPC",4.1,"Instructor:
Codutor Academy",E£349.99,10.5,18,Intermediate,,,E£449.99,349.99,E£,Business Exception,10798.827522369638,10798.827522369638USD
C/C++ 1000: GNU For Beginners,Exploring the C/C++ Commons (GNU C/C++ 1000),4.0,"Instructor:
Randall Nagy",E£199.99,9,57,Beginner,,,E£269.99,199.99,E£,Business Exception,6170.626349892009,6170.626349892009USD
Test your C skills - Programming Interview Questions,"Competitive Programming Questions, Technical Coding interview questions, 50+ program bank",4.5,"Instructors:
Ashokkumar P, Shiva Shankar",E£199.99,2,36,All Levels,,,E£269.99,199.99,E£,Business Exception,6170.626349892009,6170.626349892009USD
The Complete C programming,C programming,3.2,"Instructor:
Tweneboah Derrick Owusu",E£199.99,3.5,48,Beginner,,,E£269.99,199.99,E£,Business Exception,6170.626349892009,6170.626349892009USD
CAPM Certification 2023&2024: Updated CAPM Exam Prep_37 PDUs,CAPM Exam Prep Training: CAPM Exam COMPLETE Training Based On the New CAPM ECO (Perfect for 2023 & 2024 CAPM exams.),4.6,"Instructor:
Sabri C. PMP | 120,000+ Enrollments Worldwide",E£199.99,38.5,323,All Levels,,New,E£999.99,199.99,E£,Business Exception,6170.626349892009,6170.626349892009USD
C Programming from Scratch,Master the Basics,4.3,"Instructor:
Ashish Sharma",E£199.99,2,17,All Levels,,,E£269.99,199.99,E£,Business Exception,6170.626349892009,6170.626349892009USD
Arabic language | The comprehensive course - Learn modern,"So you are already learning Arabic or willing to ? Perfect , This is where i'm going to boost your Arabic skills ;)",4.7,"Instructor:
Fadi G. C.",E£749.99,22.5,177,All Levels,,,E£999.99,749.99,E£,Business Exception,23140.69731564332,23140.69731564332USD
Programming in C,Develop flow chart and algorithm to solve problem logically,4.0,"Instructor:
Meghana Wagh",E£229.99,,5,Beginner,,,E£319.99,229.99,E£,Business Exception,7096.266584387535,7096.266584387535USD
Digital Signal Processing (DSP) From Ground Up™ in C,"Practical DSP in C : FFT, Filter Design, Convolution, IIR, FIR, Hamming Window, Linear Systems, Chebyshev filters etc",4.5,"Instructors:
Israel Gbati, BHM Engineering Academy",E£849.99,8,92,All Levels,,,"E£1,199.99",849.99,E£,Business Exception,26226.16476396174,26226.16476396174USD
Simulink Embedded Coder for Automatic C Code Generation,Embedded Compiler Generate C and C  code optimized for embedded systems.,4.5,"Instructor:
Educational Engineering Team",E£349.99,2.5,25,All Levels,,,E£479.99,349.99,E£,Business Exception,10798.827522369638,10798.827522369638USD
Pointers in C - Simple Examples and Memory Location Diagrams,"Learn Pointers in C/C++ with examples Memory concepts, Addresses and set a solid foundation of Pointers",4.3,"Instructor:
Mudassar Naseem",E£199.99,2,16,All Levels,,,E£269.99,199.99,E£,Business Exception,6170.626349892009,6170.626349892009USD
C_LCNC_02 Low-Code / No-Code Applications and Automations,100% Pass Guarantee: Latest Practice Test Questions of SAP Low-Code / No-Code Applications and Automations C_LCNC_02,4.6,"Instructor:
Rafael Delfino",E£229.99,,,,,Bestseller,,229.99,E£,Business Exception,7096.266584387535,7096.266584387535USD
Embedded C and AUTOSAR Overview,AUTOSAR concepts and BSW Modules are covered,4.1,"Instructor:
Autosar Instructor .",E£749.99,10.5,160,All Levels,,,E£999.99,749.99,E£,Business Exception,23140.69731564332,23140.69731564332USD
Learn Data Structures using C Programming Language,"Hands-on course with exercises on arrays, stacks, queues, linked list, trees, graphs, internal sorting techniques, etc.",3.9,"Instructor:
Gayatri TR",E£229.99,9,90,All Levels,,,E£319.99,229.99,E£,Business Exception,7096.266584387535,7096.266584387535USD
C PROGRAMMING,Learn C Programming Language Basic to Advance,3.9,"Instructor:
DIGIFLAX E-LEARNING",E£199.99,2.5,39,All Levels,,,E£269.99,199.99,E£,Business Exception,6170.626349892009,6170.626349892009USD
C_TS452_2021 Sourcing and Procurement,Sure way to Succeed the exam: SAP S/4HANA Sourcing and Procurement - C_TS452_2021 & Upskilling for ERP MM Consultants,4.2,"Instructors:
SanthaRam S, Kouru Venkata Ganapathi",E£449.99,,,,,,E£599.99,449.99,E£,Business Exception,13884.294970688059,13884.294970688059USD
Linux Timers Implementation & Design in C,"Data Structure & Algorithm to Schedule future events, Linux System Programming, Operating systems, C/C++ programming",4.7,"Instructors:
Abhishek CSEPracticals, Shiwani Nigam, Ekta Ekta",E£199.99,4,41,Beginner,,,E£269.99,199.99,E£,Business Exception,6170.626349892009,6170.626349892009USD
Part A - Network Protocol Development in C ( from scratch ),"Network Coding Project for Network Core Developers, Linux, System Programming, Operating systems, Projects in C/C++",4.1,"Instructors:
Abhishek CSEPracticals, Ekta Ekta, Shiwani Nigam",E£479.99,12.5,119,Intermediate,,,E£649.99,479.99,E£,Business Exception,14809.935205183585,14809.935205183585USD
C/C++ 2000: GNU For Intermediate Students,The C/C++ Transition (GNU C/C++ 2000),3.5,"Instructor:
Randall Nagy",E£219.99,7,63,Intermediate,,,E£319.99,219.99,E£,Business Exception,6787.7198395556925,6787.7198395556925USD
Understanding basics of programming with C/C++,"Most cars, IoT devices or embedded devices have their software written in C/C++. Wonder why?",4.7,"Instructors:
ITUniversity.RO Academy, Gabriel Avramescu",E£199.99,1.5,20,Beginner,,,E£269.99,199.99,E£,Business Exception,6170.626349892009,6170.626349892009USD
C Language tricky Questions (Company specific),Concepts in C,3.8,"Instructor:
shravan Kumar Manthri",E£199.99,5,30,All Levels,,,E£269.99,199.99,E£,Business Exception,6170.626349892009,6170.626349892009USD
Objective-C Crash Course for Swift Developers,Everything you need to know about modern Objective-C to use it professionally,3.9,"Instructors:
Mark Wahlbeck, Devslopes by Mark Wahlbeck",E£599.99,8.5,53,Intermediate,,,E£799.99,599.99,E£,Business Exception,18512.49614316569,18512.49614316569USD
Mixed Language App Development with Objective-C and Swift,Effective Development for Cocoa and Cocoa Touch with Xcode,4.3,"Instructor:
Infinite Skills",E£199.99,7,89,Intermediate,,,E£269.99,199.99,E£,Business Exception,6170.626349892009,6170.626349892009USD
Linux Kernel Programming - IPC b/w Userspace and KernelSpace,"System Programming - Learn Netlink Sockets, Operating Systems, Loadable Kernel Modules, C programming From Scratch",4.5,"Instructors:
Abhishek CSEPracticals, Shiwani Nigam, Ekta Ekta",E£519.99,3,35,Beginner,,,E£679.99,519.99,E£,Business Exception,16044.122184510952,16044.122184510952USD
LEED AP BD+C V4 | 4 Full Practice tests | Simulation Exams,LEED AP BD+C Simulation exams were prepared by an approved USGBC Faculty in accordance with the GBCI LEED AP exams.,4.8,"Instructors:
Karim Elnabawy Balbaa, USGBC Faculty, GBERA | Green Building Education and Research Academy",E£319.99,,,,,,,319.99,E£,Business Exception,9873.187287874112,9873.187287874112USD
Pointers in C for Embedded Systems,This course will teach you how to use pointers in C to create powerful Embedded Systems programs.,4.5,"Instructor:
Educational Engineering Team",E£199.99,3,24,All Levels,,,E£269.99,199.99,E£,Business Exception,6170.626349892009,6170.626349892009USD
Design Patterns In Objective C iOS Programming for Projects,Design patterns in Objective C iOS Programming for Software Architecture Beginners Objective-C OOP GoF Design Patterns,3.4,"Instructor:
Suresh Kumar Srivastava",E£199.99,7,90,All Levels,,,E£269.99,199.99,E£,Business Exception,6170.626349892009,6170.626349892009USD
Fundamental Concepts of C,Basic concepts of programming language,3.5,"Instructor:
Abhishek Agarwal",E£199.99,,20,All Levels,,,E£269.99,199.99,E£,Business Exception,6170.626349892009,6170.626349892009USD
C Programming Language from Scratch,Welcome to the future of coding,3.9,"Instructor:
Khushboo Jhawar",E£199.99,1.5,15,Beginner,,,E£269.99,199.99,E£,Business Exception,6170.626349892009,6170.626349892009USD
SAP C_HANATEC_17 SAP Certified Technology Practice Q &A,C_HANATEC_17 with Added Bonus 40 exam Practice questions for OS/DB Migration for SAP NetWeaver 7.52 C_TADM70_21,4.6,"Instructor:
Fadi Anani",E£229.99,,,,,,,229.99,E£,Business Exception,7096.266584387535,7096.266584387535USD
System C Project - Write a Garbage Collector from Scratch,"Linux/Windows System Programming - C Project, Heap Memory Leak detection tool, Operating System, Memory Management",4.3,"Instructors:
Abhishek CSEPracticals, Shiwani Nigam, Ekta Ekta",E£419.99,3.5,43,All Levels,,,E£519.99,419.99,E£,Business Exception,12958.654736192533,12958.654736192533USD
Mastering STM32CubeMX 5 and CubeIDE - Embedded Systems,"Code Drivers and Firmware : PWM, USB,TIMER, SPI, ADC, UART, DMA,FreeRTOS,Embedded-C, Assembly etc",4.2,"Instructors:
BHM Engineering Academy, EmbeddedExpertIO ., Israel Gbati",Free,10,45,All Levels,,,E£819.99,0,,,0,0USD
The Ultimate C Programming course for Beginners!,Take the first step and learn to code in C with this comprehensive course on the basics of programming!,3.8,"Instructor:
Athena Sullivan",E£199.99,1.5,27,Beginner,,,E£269.99,199.99,E£,Business Exception,6170.626349892009,6170.626349892009USD
Checklist of different R.C.C works,things to know before concrete casting,2.4,"Instructor:
Zain Ul Abedin",E£199.99,,8,Beginner,,,E£269.99,199.99,E£,Business Exception,6170.626349892009,6170.626349892009USD
Build Undetectable Malware Using C Language: Ethical Hacking,In This Advance Ethical Hacking Course You Will Learn How To Create Your Own Penetration Testing Tool With C Programming,4.4,"Instructors:
Aleksa Tamburkovski, Joe Parys",E£749.99,3,23,Expert,,Bestseller,E£999.99,749.99,E£,Business Exception,23140.69731564332,23140.69731564332USD
"AVR microcontrollers: C language, electronic devices.","AVR microcontrollers: I/O, ADC, PWM, etc.. Programming microcontroller C language, practical work. Atmega, XMEGA series.",4.1,"Instructor:
Oleksandr Aleshchenko",E£229.99,9.5,115,Intermediate,,,E£319.99,229.99,E£,Business Exception,7096.266584387535,7096.266584387535USD
Master the Embedded C programming interview,Prepare for your Embedded C programming interview,4.0,"Instructor:
Alexandru Ionescu",E£229.99,3,98,All Levels,,,E£319.99,229.99,E£,Business Exception,7096.266584387535,7096.266584387535USD
C Programming for Beginners - Go from Zero to Hero!,Unlock your super hero skills to master the C programming language in less than 30 days guaranteed.,4.3,"Instructor:
EDUmobile Academy",E£199.99,3.5,31,All Levels,,,E£269.99,199.99,E£,Business Exception,6170.626349892009,6170.626349892009USD
