Course Name,Description,Rate,Instructor,Total Hours,lectures,Level,Price,Number Of Rated Users,Bestseller
Unity 3D Game Development (2021) - From Beginners to Masters,"Learn Unity 3D Game Design & Development. Learn C# using Unity Engine. Create 2D and 3D Games for Web, Mobile, PC & Mac",3.5,Three Millennials,10.5,59,All Levels,E£199.99,,
Learn to make a 2D Angry Bird like game using Unity & C#,Learn How to make a 2D Angry Bird like game for absolute beginners using the Unity game engine & C# Programming language,4.2,Yousif Alsewaidi,s5,47,All Levels,E£199.99,,
Start to finish - Creating a complete game using Unity3D,Start to finish - build a complete game using Unity and C# and learn to think like a game programmer,4.5,The Point Pixels & Polygons,3.5,13,Beginner,E£219.99,,
From zero to hero Unity course: Make a Marlo game!,Learn to code in C# & make your first complete 2D game in Unity® 2017! This course is perfect for any beginner developer,4.3,"Mammoth Interactive, John Bura",19.5,121,Beginner,E£229.99,,
BDD in C# - using Specflow (Cucumber) to develop a REST API and automate software testing,Learn how to develop software in Behaviour Driven Development (BDD) using Specflow - part of the Cucumber software family of tools for software testing automation.,3.8,Binary Brain,1.5,12,All Levels,E£229.99,,
The Complete C# ASP.NET Web API Course,Build RESTful Web Services with C# and ASP.NET Web API!,2.6,Alex Javad,s1,10,Intermediate,"E£1,299.99",,
Elliott Wave Theory | Master & Apply with a C# Showcase App™,Elliott Wave Theory: Guidelines to Apply Elliott Wave Theory + Step-By-Step Examples To Forecast Trends & Consolidations,4.0,Mall Academy,3.5,37,All Levels,E£199.99,,
Learn MVVM in Xamarin Forms and C#,Build Xamarin Forms Application using Traditional MVVM & MVVM PRISM,4.3,Asfend Yar Hamid,s2,32,All Levels,E£199.99,,
Create 2D Idle Clicker Game With Unity & C#,Create 2D Idle Clicker Game With Unity & C#,4.2,Paul Hadizad,s6,30,All Levels,E£199.99,,
Learn ASP Net MVC Core 5 - Extreme Learning Course in C#,A hands-on approach to ASPNet MVC in .Net 5 - Jump right into coding your next web application in Visual Studio 2019,3.4,Chuck McCullough,s5,43,Intermediate,E£199.99,,
Complete C# Unity 2D & 3D Game Development Masterclass 2020,"Learn Unity 2D, Unity 3D Game Development, Augmented Reality using Vuforia, C#, Unity 5, Code, Mobile Games, Web, PC",4.0,Mir Imad Ahmed,24.5,151,All Levels,E£199.99,,
Complete Unity 2018 - Coding Games in C#,Code and build your way to a finished 2D cross-platform game with a wide variety of core game development topics,3.4,Chris Tutorials,s8,49,Beginner,E£199.99,,
Building Cross Platform Apps with Xamarin and C#,"Go hands-on with this exciting technology for developing cross-platform, native mobile apps using C#",4.4,Infinite Skills,3.5,53,Intermediate,E£229.99,,
Create 2D Beat Em Zombie Up Game In Unity And C#,Create 2D Beat Em Zombie Up Game In Unity And C#,4.3,Paul Hadizad,8.5,36,Beginner,E£549.99,,
Mastering 2D Vectors for Unity Game Development,With code examples in C#,4.3,T O,1.5,15,Beginner,E£199.99,,
Create Your Own Scada for Plc with C# Language,Learn How to Create Your Own Scada for Plc with Delta Plc Basics and C# Language Basics,3.6,Derstagram Akademi,2.5,31,All Levels,E£199.99,,
Unity Game Development: Build 2D & 3D Games,"Unity Game Development & Design, Learn Unity Android Game Development with C# & Unity",3.3,Magic Coding,23.5,102,All Levels,E£199.99,,
Fundamentals of Programming,"The boring theory that YOU NEED if you want to make solid games and apps - Swift , C# Unity3D",4.1,Yohann Taieb,2.5,43,Beginner,E£199.99,,
Unity android game development course 2021,Learn how to make Indie games with Unity and C# completely from scratch,4.0,Mohammed Khan,20.5,100,All Levels,E£229.99,,
Software Automation Testing with C# & Selenium from Scratch,Learn how to build an Automation Framework from Scratch in Behaviour Driven Development (BDD) using Specflow.,4.1,Akin Oladeji,2.5,23,Beginner,E£199.99,,
Unity Mobile Development - Create Your First Mobile Game!,"Learn the fundamentals of Unity, C# and mobile game development, and introduce yourself to the world of programming!",4.4,Mikael Christodoulides,3.5,21,All Levels,E£199.99,,
Unity Game Development - 2.5D Game,Unity Game Development: Learn how to make a 2.5D Game in Unity using C# language. Start making your own Unity 2.5D game.,4.3,Yuri Farion,2.5,15,Intermediate,E£199.99,,
Creating an MP3 Player Using Unity and C#,"Learn C# and Unity from a 40 year programming veteran. Lectures cover MP3 play list, playing MP3s and audio visualizer",3.8,Brian Covault,18.5,,Beginner,E£199.99,,
Master Facial Recognition in .NET/C# using Aforge/Accord,Face/Object Detection made Simple,3.6,Moses G Akomolafe,1.5,23,All Levels,E£199.99,,
C# .NET 5 API in clean architecture with best work practices,"Build race simulation REST API in .NET 5 with source control and project tasks tracking, simulating real word situations",3.3,Luka Devic,2.5,115,All Levels,E£199.99,,
"Desktop Application Developer: Python, Java, C#","Build Desktop Applications using Python, Java, C#",2.6,Bluelime Learning Solutions,s9,101,Beginner,E£229.99,,
Beginning Data Structures and Algorithms in C#,Explore the possibilities of C# for developing a variety of applications,3.7,Packt Publishing,s3,23,Intermediate,E£229.99,,
"C# : ASP .NET Web Services,IIS and WEB API -Practise Test",AspDotnet Advanced Multiple Choice Questions And Answers,3.6,Suprio Dutta,,,,E£199.99,,
Starting 2D Game Development in Unity with C#,Begin your Game Development Journey,4.0,Neil North,s4,41,Beginner,E£229.99,,
Learn to Create REST API's with C# .NET,Easy ASP.NET Web API framework for building RESTful applications and HTTP services on .NET framework,3.7,Vivek Kumar,s2,12,All Levels,E£199.99,,
Journey from Dynamo Script to C# DLL Revit API AddIn,Learn how to upgrade your scripts from dyn files to dll Addins running on Revit,3.6,Enrique Galicia,1.5,15,Beginner,E£419.99,,
Unity: Building 2D Games From Scratch,Learn To Code In C# By Making Unity 2D Games,4.1,Magic Coding,14.5,71,All Levels,E£229.99,,
C# Numerical Methods for Scientists and Engineers,Numerical Methods using .NET C#,3.1,Manish Narayan,2.5,36,All Levels,E£199.99,,
"ASP.NET Core, building REST APIs in C# with Entity Framework",C# ASP.NET Core 3.1 and Entity Framework bootcamp from Expert. Create .NET Core Web APIs with MS SQL + Linux/macOS guide,3.6,Jakub Kozera,s2,29,Intermediate,E£199.99,,
The Complete Unity Multiplayer Bootcamp with C#,Building Online Multiplayer Games with Unity and C#: From Fundamentals to Turn-Based Strategy,3.7,Yash Gohel,6.5,58,Intermediate,E£199.99,,
Xamarin Android - A Master Guide to App Development in C#,"Complete Xamarin.Android Reference for Building Apps in C#. Threading, Images, Controls, Animations and Much More!",3.7,Grant Klimaytys,7.5,76,All Levels,E£199.99,,
How To Create 2D Defender Game With Unity & C#,How To Create 2D Defender Game With Unity & C#,3.9,Paul Hadizad,s7,39,Beginner,E£199.99,,
Android Game Development : Build & Monetize Complete 3D Game,"Build & Publish A Complete 3D Android Game With Unity & C# , Monetize Your Game With Video Ads , Android Development",4.5,"Raja Biswas, Charger Games",8.5,41,Beginner,E£199.99,,
American Sign Language Conversation - Level 1,It’s time to learn hundreds of useful sentences the easy way! - Suitable for Hearing & Deaf students,4.3,C. Abi Rached,s2,60,Beginner,E£199.99,,
How To Creat 2D Space Shooter With Unity And C#,How To Creat 2D Space Shooter With Unity And C#,4.2,Paul Hadizad,s7,33,Beginner,E£199.99,,
Learning Android App Creation With C#,Learn How To Create Android Apps Using C#. An Easy To follow Course For App Developers,3.5,Infinite Skills,s3,46,All Levels,E£199.99,,
Introducing Test Driven Development in C#,Learn how to use TDD in everyday work and write high-quality code,3.6,Packt Publishing,s3,29,Beginner,E£199.99,,
Learn 2D Game Development with Unity and C# Programming,Make a Blackjack game using Unity,3.3,Nathan Meier,s3,10,Beginner,E£199.99,,
Master Facial Recognition C# - EmguCV Face Recognition,Learn Facial Recognition key Concepts & Develop an application to detect faces in real time environment using any camera,3.5,Shuja Sardar,,20,All Levels,E£199.99,,
Mongodb for .NET/C# Developers,Use the most well known NoSQL database for your .NET Projects,3.7,Amr Swalha,1.5,16,All Levels,E£199.99,,
Unity Android : Build 3D Endless Runner Hyper Casual Game,Build A 3D Endless Runner Game with Unity & C#. Create Hyper Casual Runner Game for Mobile and PC with Unity,3.8,Raja Biswas,s10,44,Beginner,E£229.99,,
Build your First AR application using Unity C# and Vuforia,Learn how to make AR Book or magazine For Kids with Vuforia and Unity.,3.1,"Brinis Hamza, Abderrahmen Brinis",2.5,10,All Levels,E£199.99,,
Xamarin iOS App in C# & Firebase,Developing a complete iPhone application using C Sharp in Xamarin Studio with Firebase backend,4.2,Amir J,5.5,60,Intermediate,E£229.99,,
2D Game Development : Build 7 Android iOS 2D Games using C#,Learn 2D Game Development by Building 7 Android And IOS 2D Game Using Unity C# Game Mechanics & Game Physics.,3.2,"Brinis Hamza, Abderrahmen Brinis",s18,42,All Levels,E£199.99,,
.NET Developer Skills Advancing,"Improve your development skills in c#, vb or any .net development technology",3.6,Amr Swalha,3.5,24,Beginner,E£199.99,,
Lets code C# : Candy Crush in Unity,A walkthrough on coding a Match-3 game along with bombs and jelly mechanics using Unity and C#,3.7,Augmissive Arts,s10,20,Intermediate,E£229.99,,
Introduction to ML.NET or Machine Learning with .NET,Understand Machine Learning and how to use it with .NET and C# in a real world application using different examples,3.0,Harshit Gindra,,11,Beginner,E£199.99,,
"ARKIT & Unity 3D, creating Augmented Reality Apps with C#","Learn to code by making your own Augmented Reality First Person Shooter /Survival Game, Mobile Development with Unity 3D",3.8,ARdeveloper TT,2.5,32,Beginner,E£229.99,,
"Unity Virtual Reality Dev: Beat Boxer, a Rhythm Fitness Game","Build your very own Virtual Reality (VR) rhythm fitness game, Beat Boxer, using Unity 3D, C# and VRTK.",3.8,Chris Coutinho,s4,35,All Levels,E£229.99,,
Docker essentials for .Net Developers - Get started quickly,"As .Net developer, learn everything about Dockerfiles, Images, Containers and advanced topics like docker-compose",3.8,Timo | C# Development | .NET | DevOps,s2,36,Beginner,E£199.99,,
Automated Trading Strategies using C# and NinjaTrader 7,An introduction for .NET developers,3.3,Ryan Moore,s1,8,Intermediate,E£199.99,,
Make Your First Video Game Today With Unity 3D,Learn a huge range of skills from C# scripting to understanding the basics of Unity3D. Start becoming a developer today!,3.5,Awesome Inc,3.5,17,Beginner,E£199.99,,
Basics of C# and Unity for Complete Beginners - Part 1,Learn How to Make a Simple 2D Game in Unity,4.8,Alex Dev,1.5,15,Beginner,Free,,
Basics of C# and Unity for Complete Beginners - Part 2,Learn How to Make a Simple 2D Game in Unity,4.8,Alex Dev,1.5,12,Beginner,Free,,
C# 10 with .NET 6 Theory for Beginners (Part 1),The theory you need for part 2.,4.8,Jonas Fagerberg,s2,13,Beginner,Free,,
What's New in C# 8.0: Must Know for Every Developer,Learn all C# 8.0 New Features with Demo and Use them in Interviews and Project,3.8,Nitish Kumar,1.5,32,All Levels,Free,,New
Get Ready for Coding Interview,"Prepare for your next programming interview, no matter the language or tech stack. Examples in C#.",4.9,Krystyna Ślusarczyk,1.5,24,All Levels,Free,,
Using UFT Developer for Web Apps (Visual Studio and Csharp),"Shift-left functional testing using standard programming languages, IDEs, and testing frameworks of choice",4.6,Amir Khan,s2,11,Beginner,Free,,
Selenium WebDriver with C# for Beginners + Live Testing Site,Selenium is the most popular tool to test websites! Join me and thousands of students to learn Selenium Webdriver!,4.4,Tod Vachev,1.5,17,All Levels,Free,,
C# 10 with .NET 6 for Beginners (Part 2) - To-do Application,Build your first C# WebAssembly application today.,4.3,Jonas Fagerberg,s2,19,Beginner,Free,,
Selenium with C# and Java Titbits,Understand selenium basics which you really need,4.2,Karthik KK,3.5,20,All Levels,Free,,
Learn To Program in C# through simple Game Designe,four function math quize,4.4,Kyle Fillingim,1.5,8,Beginner,Free,,
C# LINQ Basics: Learn LINQ essentials in C# .NET,Basics of the embedded LINQ language,3.5,Uladzislau Baryshchyk,s1,9,Beginner,Free,,
Create a Flappy Bird game on Android for Beginners/Unity& C#,Learning to create and Develop a 2D flappy bird like Game on Android Using Unity and C#.,3.9,Yousif Alsewaidi,1.5,14,Beginner,Free,,
C# Automation Framework for Web Apps,"C# Automation Framework for Web Apps using Selenium, Appium, Sauce Labs, .NET",4.5,Nikolay Advolodkin,s1,11,Intermediate,Free,,
Fixing common errors in Unity C#,Fix C# errors quickly and easily for beginners,4.7,Pete Jepson,1.5,18,Beginner,Free,,
Beginners Guide to Dependency Injection for C# Developers,Learn the basics of Dependency Injection techniques.,4.6,Engineer Spock,s1,20,Beginner,Free,,
Introduction to TDD in C#,"Learn test driven development: make code testable, robust and maintainable. Bring unit testing skills to the next level.",4.4,Engineer Spock,s3,30,Beginner,Free,,
Xamarin Forms for Android and iOS Native Development,"Build your First Entirely Native Mobile Apps for Android and iOS using Xamarin Forms, C#, and XAML. Then include SQLite!",4.5,Eduardo Rosas,2.5,27,Beginner,Free,,
Unity Game Development For Complete Beginners,"A Complete Beginner Guide in getting started with Unity 3D, C# and making games.",4.6,Aqsa Nadeem,s1,14,Beginner,Free,,
Beginners Guide to Unit Testing with NUnit and C#,Learn the basics of unit testing with NUnit and C#.,4.0,Engineer Spock,s2,34,Beginner,Free,,
C# Automapper: Code Smart,Busy developer? Do you want to code clean and smart? Take this course and master Automapper tool!,4.0,Radim Motycka,s1,13,Beginner,Free,,
C# From Beginner To Pro - Write Flip Book W Pages - Unity 3D,Learn C# & Unity3D By Doing It,4.1,Cindy Oakes,3.5,27,All Levels,Free,,
Introduction to Xamarin.iOS,Learn the basics of creating an iOS application in C# with Xamarin,4.5,Xamarin University,s2,15,Beginner,Free,,
.Net Basic Course 2 - Introduction to .net with programming,C-Sharp Basics part 2,4.3,Sravanthi Venishetty,s1,11,Beginner,Free,,
Unity 3D - Create a Reusable UI System,Create a UI System in Unity that is completely Re-usable using C#,4.4,Indie - Pixel,s2,12,Intermediate,Free,,
Functional Programming with Origami,Get hands on with Origami and Code examples in C#,4.5,Michael Byrd,s1,30,Intermediate,Free,,
Internet of things development for C# programmers,The best course for C# IoT development. Learn how to craft with raspberry pi 2 or 3. The BEST way to code for fun!,4.2,Balázs Koncz,s1,11,Beginner,Free,,
Speak Canadian English with Trish - Home and Living,Describing your home and living; activities; renting a home; choosing travel accommodations; hotel services,4.5,Trish C.,s1,31,All Levels,Free,,
Asp Net Core Dependency Injection & Service Lifetimes,"Asp .Net Core Dependency Injection Container, C#, Dependency Inversion, IOC,Lously Coupling,Clean Code,Service Lifetimes",3.9,"Best Codder Academy, Hasan Denli, Ertuğrul Yılmaz",s2,27,All Levels,Free,,
Asp.Net Core 7 (.NET 7) | True Ultimate Guide,.NET Core 6 & 7 | ASP.NET Core 7 | Asp.Net Core Projects | Bootcamp | Advanced | Interview Questions | Web API | MVC,4.6,Web University by Harsha Vardhan,81.5,401,All Levels,E£749.99,,
ASP.NET Core - SOLID and Clean Architecture,"Create a SOLID and testable ASP.NET Core Application using CQRS, Mediator Pattern and clean architecture.",4.6,Trevoir Williams,s10,83,All Levels,E£199.99,,
Complete guide to building an app with .Net Core and React,"The complete guide to building an app from start to finish using .Net 7.0, React 18 (with Typescript) and Mobx",4.7,Neil Cummings,35.5,305,All Levels,E£199.99,,
Master ASP.NET Core Identity: Authentication & Authorization,(Updated to use .NET 8) Authentication and Authorization with ASP.NET Core Identity Inside Out,4.7,Frank Liu,s14,108,Intermediate,E£229.99,,
.NET Core Microservices - The Complete Guide (.NET 8 MVC),"Learn Microservices architecture with .NET Core MVC(.NET 8), Entity Framework Core, .NET Identity with Azure Service Bus",4.5,"DotNet Mastery, Bhrugen Patel",s14,208,Intermediate,E£199.99,,Bestseller
.NET Core MVC - The Complete Guide 2023 [E-commerce] [.NET8],"Build real world e-commerce application using ASP.NET Core MVC, Entity Framework Core and ASP.NET Core Identity.",4.5,Bhrugen Patel,s17,218,Intermediate,E£199.99,,Bestseller
Make Online Games Using Unity's NEW Multiplayer Framework,A comprehensive course on Unity's Netcode For GameObjects (NGO). Intermediate C#. Networking. Gameplay & more.,4.8,"GameDev.tv Team, Nathan Farrer (aka Dapper Dino)",15.5,78,Intermediate,E£749.99,,NEW
The Complete Xamarin Developer Course: iOS And Android!,"Build Cross Platform Android and iOS apps with Xamarin Forms, Xamarin Classic, Azure Mobile App Services, Rest and more",4.5,"Tim Buchalka's Learn Programming Academy, Eduardo Rosas",27.5,187,Beginner,E£199.99,,Bestseller
Modern Unity UI with UI Toolkit,A Complete Overview Of Unity's New UI System UI Toolkit,4.5,David Makowski,s21,157,All Levels,E£749.99,,New
The Windows Presentation Foundation WPF Guide for beginners,Become an Advanced WPF Developer Who Can Handle XAML and Code Behind in His/Her Sleep And Build Beautiful GUIs,4.6,"Denis Panjuta, Tutorials.eu by Denis Panjuta",s16,110,All Levels,E£199.99,,
Learn Programming By Developing Real Applications Using C#,Career programmer foundations,5.0,Montec Edge,w5,18,Beginner,E£199.99,,
Learn to make an Awesome Builder-Defender game in Unity!,"Construct Buildings, Gather Resources, Defend your base from Enemies and more!",4.8,Code Monkey,s10,59,Beginner,E£229.99,,
Test Driven Development in ASP.NET Core - The Handbook,Get Hands-On experience using Unit testing to produce a bullet proof and testable N-Tier .NET Core application.,4.7,Trevoir Williams,4.5,40,All Levels,E£549.99,,
A Gentle Introduction To ASP.NET For Beginners,"A First Step to Creating Dynamic Websites Using Web Forms , MVC , Razor Pages and Blazor",4.5,Charlie Chiarelli,40.5,176,Beginner,E£199.99,,
The Complete ASP.NET MVC 5 Course,"Learn to build fast and secure web applications with ASP.NET MVC 5 - The most popular course with 40,000+ students!",4.4,Mosh Hamedani,7.5,139,All Levels,"E£1,299.99",,
Unity Parkour & Climbing System,Learn to Create a Third Person Parkour & Climbing System in Unity and C# | Learn Gameplay Programming in Unity,4.7,Fantacode Studios,9.5,42,Intermediate,E£749.99,,
ASP.NET MVC Interview Questions with Answers,ASP.NET MVC Interview Questions with Answers,4.7,Shivprasad Koirala,3.5,8,All Levels,E£199.99,,
.NET Microservices: CQRS & Event Sourcing with Kafka,Learn how to create microservices in C# that are based on CQRS and Event Sourcing. Powered by .NET and Apache Kafka.,4.5,Sean Campbell,8.5,91,All Levels,E£199.99,,
Unity Visual Scripting: Learn Game Coding The Easy Way,Learn object oriented programming by building 2D & 3D games in Unity using the C# visual scripting language.,4.7,"GameDev.tv Team, Taryn McMillan",s15,97,Beginner,E£749.99,,
RESTful Web API - The Complete Guide (.NET7 API) Part 2,Learn advance concepts in RESTful web API (C#) with Authentication (.NET 7 API) and explore how to consume them.,4.8,Bhrugen Patel,4.5,73,Intermediate,E£749.99,,Bestseller
ChatGPT for .NET developers,Use ChatGPT to improve yor C# skills and learn how to consume OPENAI API to build intelligent apps in C#,4.9,Darek Kacban,s2,25,All Levels,E£519.99,,
Entity Framework in Depth: The Complete Guide,Connect your applications to a SQL Server database,4.5,Mosh Hamedani,6.5,79,Intermediate,"E£1,299.99",,Bestseller
Learn to make 2D Platformer game for PC/Android/IOS,Making games is easy! I Learn C# using Unity and create your very own platformer for PC and Mobile,4.8,Alex Dev,18.5,125,All Levels,E£199.99,,
Clean Architecture in .NET Core MVC[.NET 8] - Complete Guide,"Build resort application using .NET Core MVC, Entity Framework Core and ASP.NET Core Identity with Clean Architecture",4.6,Bhrugen Patel,14.5,246,Beginner,E£199.99,,
Blazor Bootcamp - .NET 6 E-Commerce Web App(WASM and Server),"Learn to build e-commerce web application using Blazor Server, Blazor WASM and .NET 6(EF Core) API and deploy to azure.",4.6,Bhrugen Patel,15.5,215,Beginner,E£749.99,,Bestseller
Unity 2D RPG: Complete Combat System,Code your own top-down RPG game combat system in Unity using C#,4.7,"GameDev.tv Team, Stephen Hubbard",10.5,87,Beginner,E£629.99,,
Entity Framework Core - A Full Tour,Learn how to use and take advantage of the full feature set of Entity Framework Core in your .NET Core applications.,4.5,Trevoir Williams,10.5,117,All Levels,E£849.99,,
LINQ from Basic to Advanced,Learn LINQ - Every module feature demonstrated with real-time examples,4.4,Sandeep Soni,s9,19,Beginner,E£199.99,,
API testing with RestSharp along with framework development,"Learn API testing in .NET world using RestSharp in .NET 7, XUnit, Specflow and GitHub Actions - July 2023 Updated ⚡️",4.4,Karthik KK,s10,106,All Levels,E£319.99,,
What's New in C# 12: A Practical Guide with Exercises,"Learn about the new features in C# 12, through theoretical videos and practical exercises.",4.3,Héctor Uriel Pérez,1.5,23,All Levels,E£199.99,,New
C# Design Patterns: Complete Guide [2023 Edition],Learn Advanced Design Patterns & Best Practices for Robust C# .NET Applications,4.9,Hilmi Cihan Yıldırım,8.5,73,All Levels,E£199.99,,
Unity Mobile Game Development,Create and publish mobile games for Android and iOS using C# and Unity. Made in Unity 2022.,4.8,Mario Korov,s7,80,Beginner,E£749.99,,
Complete Guide to Unit Testing in .NET Core (NUnit & XUnit),"Master unit testing with NUnit, XUnit and MOQ with a real world N-Tier web application (.NET Core 6 and EF Core)",4.6,Bhrugen Patel,s5,87,Beginner,E£549.99,,
Unity UIToolkit: Introduction To Editor Scripting,Learn the basics of the new UIToolkit in the Unity Game Engine,4.4,"GameDev.tv Team, Gary Pettie",s4,31,Intermediate,E£519.99,,new
Object-oriented Programming in JavaScript,"Learn all about OOP, understand the most confusing parts of JavaScript and prepare for technical interviews",4.7,Mosh Hamedani,s4,64,Intermediate,E£629.99,,
C# Fundamentals For Complete Beginners,"Value and Reference types, Conditional statements, Cycles, Arrays/Collections, Static Methods, Console Applications",5.0,Ivan Iliev,14.5,34,Beginner,E£199.99,,
Programming Design Patterns For Unity: Write Better Code,"How to apply programming best practices to your Unity projects, improve your game development skills and solve problems",4.7,GameDev.tv Team,3.5,22,Intermediate,E£629.99,,
.NET / EF Core - 60+ Practical Interview Questions,Learn best coding practice with .NET Core MVC / EF core and C# fundamentals with Practical .NET Interview Questions,4.7,Bhrugen Patel,2.5,72,Intermediate,E£629.99,,
Create a Meele Combat System in Unity and C#,Create a Third-Person Meele Combat System in Unity and C# | Learn Gameplay Programming and Clean Coding Practices,5.0,Fantacode Studios,s9,32,Intermediate,E£199.99,,New
Using gRPC in Microservices Communication with .Net 5,Building a high-performance gRPC Inter-service Communication between backend microservices with .Net,4.4,Mehmet Ozkaya,7.5,92,Intermediate,E£229.99,,
"Azure DevOps for .NET Developer (CI/CD, Boards, Repo & Wiki)","Learn fundamentals for Azure Devops essential in software development as a .NET Developer (CI/CD, Boards, Repo)",4.6,Bhrugen Patel,s4,48,Intermediate,E£199.99,,
EF Core and .NET 6: Zero to Pro with ASP NET Web Api,"Unlock the Full Potential of Backend Development: Master Entity Framework Core, .NET 6, and Web API",4.6,Alin Coman,2.5,36,Beginner,E£199.99,,New
Learn Mobile App Development with .NET MAUI,Build Native Cross Platforms Real World Mobile Applications with .NET MAUI,4.5,Asfend Yar Hamid,s4,73,All Levels,E£529.99,,
Dependency Injection in .NET 5 (.NET Core),Learn the basic foundation of Dependency Injection in ASP.NET Core / .NET 5 web applications.,4.7,Bhrugen Patel,s3,47,All Levels,E£199.99,,Bestseller
The Finite Element Method (FEM/FEA),From Novice to Pro: FEA Proficiency Unleashed,4.8,Engineer Renato C.,s34,153,All Levels,E£549.99,,Bestseller
Ultimate ASP.NET Core Web API Development Guide,"Learn how to create a maintainable Web API using ASP.NET Core, Entity Framework and Enterprise Level Design Patterns",4.6,Trevoir Williams,10.5,80,All Levels,E£229.99,,
ASP NET MVC 5 for beginners,This course teaches you ASP NET MVC 5 step by step manner.,4.4,Shivprasad Koirala,s22,65,Beginner,E£199.99,,
Master Unity Game Development in 30 Days : 25+ Game Projects,"Build Something New Everyday for 30 Days , Master Unity 2023 Game Development & C# Scripting Step By Step",4.7,Raja Biswas,26.5,113,Beginner,E£629.99,,New
ASP.NET Core Identity and Security (SECOND EDITION),Develop secure ASP.NET Core applications and protect them against cyber attacks,4.4,Aref K.,4.5,37,All Levels,E£269.99,,
Entity Framework Core - The Complete Guide (.NET Core 7),Learn Entity Framework Core using Code First Methodology in ASP.NET Core 7 (.NET 7),4.6,Bhrugen Patel,s6,107,Beginner,E£999.99,,Bestseller
Unit Testing Dotnet (.NET) Application with xUnit .net & MOQ,"Mocking Techniques, Test Driven Development (TDD), and Unit Testing Legacy Code with xUnit. NET + Interview Questions",4.4,Aref K.,3.5,40,All Levels,E£199.99,,
Microsoft .NET Development Essentials,A step by step guide for creating your own software development environment with FREE tools from Microsoft.,4.7,Destin Learning,s2,23,All Levels,FREE,,
Complete ASP.NET Core and Entity Framework Development,Learn ASP.NET Core and Entity Framework by building and publishing a practical Employee Leave Management System.,4.6,Trevoir Williams,s15,75,All Levels,E£199.99,,
98-361: Software Development Fundamentals (using VB .Net),"Learn Visual Basic, Web and Desktop applications, and databases. 98-361 (VB .Net version).",4.6,"Phillip Burton, I Do Data Limited",s10,134,Beginner,E£199.99,,Bestseller
.NET 7 Web API & Entity Framework Jumpstart,"Build the back-end of a .NET 7 web application with a Web API, Entity Framework 7 & SQL Server in no time!",4.4,Patrick God,s22,287,All Levels,E£349.99,,
ASP.NET Core 6.0 Course - MVC - Blazor - Razor - EF Core,"Become a great ASP.NET Developer and be ready for any ASP.NET scenario using Blazor, Razor, MVC, Entity Framework & more",4.6,"Denis Panjuta, Jannick Leismann, Tutorials.eu by Denis Panjuta",13.5,130,All Levels,E£749.99,,
Asp.Net MVC 5 - Ultimate Guide - In depth & Sample Project,"Asp.Net Mvc, Asp.Net Core Mvc, Repository Pattern, Web Api, Asp.Net Identity, Entity Framework",4.5,Web University by Harsha Vardhan,s22,233,All Levels,E£199.99,,
Complete Blazor Course - e-Commerce App & Clean Architecture,ASP.NET Blazor In Depth & Build an e-Commerce Web Application with Clean Architecture,4.3,Frank Liu,7.5,85,All Levels,E£199.99,,
ASP.NET Core for beginners,Build ASP.NET Core Web Applications,4.6,Bluelime Learning Solutions,s2,25,Beginner,E£199.99,,
Visual Studio Code for .NET Developers,A guide to learn Visual Studio Code (VS Code) for highly productive editing of source code in Visual Studio Code,4.9,Praveenkumar Bouna,3.5,65,Beginner,E£229.99,,
UiPath LINQ - From Advanced to Expert,Learn the easiest way to handle ANY source of data in ANY format,4.3,Daniel Tila,5.5,81,Expert,E£229.99,,new
AppSettings and Secrets in ASP.NET Core,Understand AppSettings and learn how to secure your application secrets from development to production in ASP.NET Core,4.5,"DotNet Mastery, Bhrugen Patel",s2,34,Beginner,E£199.99,,
Dapper - Getting Started,Gain practical knowledge of Dapper as we integrate with ASP.NET Core (.NET 5) application and learn advance concepts.,4.5,"DotNet Mastery, Bhrugen Patel",s3,47,Beginner,E£199.99,,
.NET 5 Web API & Entity Framework Crash Course,Build your RESTful web service with .NET 5 Web API from the ground up and use Entity Framework to create your database.,4.5,Patrick God,s3,50,All Levels,E£229.99,,
Learn C# Step by Step by Creating a Complete Point of Sell,Understand C# and Create a Point of Sell in C# Step by Step from Scratch,3.1,Birali Faustin Nzubahimana,29.5,58,All Levels,E£199.99,,
Build ASP.NET Blazor apps with a clean structure,Learn how to create clean-structured web apps with ASP.NET Core 5 Blazor (with update to .NET6),4.2,Benjamin Proft,15.5,210,All Levels,E£199.99,,
ASP.NET Core Razor Pages The Complete Guide (.NET 6),"Build real world Razor application using Repository Pattern, N-Tier Architecture, API's in ASP.NET Core Razor Pages",4.6,Bhrugen Patel,22.5,318,Intermediate,"E£1,199.99",,
Unity For Beginners:Game Development From Scratch with Unity,"Unity Game Development by developing 2D games, use Unity, develop your game with the ultimate guide to game development",4.6,"Oak Academy, OAK Academy Team",s2,22,All Levels,E£229.99,,
Unity Game Development Master Class,Become a Game Developer,4.5,Brian Cox,s19,231,Beginner,E£529.99,,
C# LINQ Guide,"Learn Querying with LINQ, C#.",4.9,Vinay Kumar,s1,19,Beginner,E£199.99,,
Learn Basic Microsoft ASP.Net Development with Visual Studio,Learn: C#+CSS+HTML+JQUERY+Visual Studio 2013,4.1,T O,11.5,75,All Levels,E£199.99,,
The Beginner's Guide to Artificial Intelligence (Unity 2022),A practical guide to programming non-player characters for games in the Unity Game Engine with C#,4.6,"Penny de Byl, Penny @Holistic3D.com",s30,185,Beginner,E£199.99,,
