Course Name,Description,Rate,Instructor,Total Hours,lectures,Level,Price,Number Of Rated Users,Bestseller,Original Price
Learn Collections in C# and .NET,A Masterclass Course on Collections in C# and .NET,4.7,"Instructor:
Infinite Skills",s3,28,All Levels,E£229.99,,,E£319.99
MSTest Unit Testing Tutorial for beginners : C# Unit Testing,Learn how to write effective unit tests using Microsoft MSTest framework to build high quality software applications,4.6,"Instructor:
Venkat Kud",s4,42,All Levels,E£229.99,,,E£319.99
Learn Unit Testing with NUnit and C#,"Learn unit testing, TDD, mocking and Dependency Injection: techniques that you'll need to build reliable software.",4.5,"Instructor:
Engineer Spock",7.5,94,Beginner,E£229.99,,Bestseller,E£319.99
C# .NET For Beginners,An introduction to programming using C# and Microsoft's .NET platform,4.6,"Instructor:
Rick Phillips",s4,19,Beginner,E£199.99,,,E£269.99
High Performance Coding with .NET Core and C#,Learn how to write high performance and scalable .NET Core and ASP.NET Core applications in C#,4.3,"Instructor:
Gergely Kalapos",6.5,38,Intermediate,E£549.99,,,E£729.99
Learn To Code By Making a 2D Platformer in Unity & C#,Game development made easy. Learn C# with Unity and create your very own 2D Platformer!,4.5,"Instructor:
James Doyle",s15,115,Beginner,E£999.99,,,"E£1,299.99"
A 16 Hour C# Course With Microsoft Visual Studio 2013,"Quadruple Your Skills: Learn C# , Microsoft Visual Studio 2013, Debugging and SQL Server Basics!",4.5,"Instructor:
T O",16.5,125,All Levels,E£229.99,,,E£319.99
C# - Complete A to Z C# Masterclass™: Hints + Coding Tips,Learn C# like a Professional! Start from the basics and go all the way to creating your own applications and games!,3.9,"Instructor:
Dr. Chris Mall • 35,000+ Students Worldwide",s7,66,All Levels,E£199.99,,,E£269.99
Beginner Object Oriented Programming In C# and .NET Core,Learn object oriented programming (OOP) fundamentals in C# and .NET Core with clear examples from a real professional.,4.4,"Instructor:
Avetis Ghukasyan",3.5,28,Beginner,E£619.99,,,E£819.99
Advanced Data Structures and Algorithms in C# ( DSA ),Advanced Data Structures and Algorithms in C# Using C# DSA Data Structures Algorithms LeetCode DSA C# Data Structures,4.5,"Instructor:
Deepali Srivastava",s7,67,All Levels,E£229.99,,,E£319.99
Unity 3D and C# - The Complete RPG Guide for Beginners,Build 3 games & learn Unity practical way! Start with fundamentals and finish with an RPG game. Using Unity 2020 and C#,4.7,"Instructors:
Eincode by Filip Jerga, Filip Jerga",s41,315,All Levels,E£269.99,,,E£349.99
Practical C# Programming Practices (70+ Common Projects),Master C# programming with over 70+ best C# programming practices for absolute beginners to excel in the industry,3.6,"Instructors:
Emenwa Global, Zoolord Academy",7.5,76,All Levels,E£229.99,,,E£319.99
C# Studies | Basic C# Programming with Visual Studio 2019,Take your first step into the world of programming with this beginner course on C#. Become a programmer today!,4.8,"Instructor:
C# Tut",1.5,15,Beginner,E£199.99,,,E£269.99
Advanced Automation Testing of Modern Apps with C# .NET,"Learn modern ways to automate application with C# .NET using Selenium, XUnit, Dependency Injections, Docker and more !",4.5,"Instructor:
Karthik KK",s16,140,All Levels,E£349.99,,,
Unity C# Mobile Game Development: Make 3 Games From Scratch,Make and publish mobile games & apps for Android Play Store & iOS App Store using Unity and C#,4.6,"Instructors:
Rick Davidson, GameDev.tv Team, Nathan Farrer (aka Dapper Dino)",6.5,50,Beginner,E£999.99,,Bestseller,"E£1,299.99"
Learn C sharp in 1 hour,Learn how to program in C# in 1 hour! C# is used in a variety of places. Learn the secrets in this course!,4.8,"Instructor:
John Bura",s1,26,Beginner,E£199.99,,,E£269.99
C# and Financial Modeling,Using C# for Numerical Analysis in Applied Finance,4.2,"Instructor:
Matthew Fried",s9,56,All Levels,E£229.99,,,
Learn to make Parkour Endless Runner game for PC/Android/IOS,Making games is easy! I Learn C# using Unity and create your very own endless runner for PC and Mobile,4.7,"Instructor:
Alex Dev",11.5,89,Beginner,E£749.99,,,E£999.99
Full Stack Xamarin with C# for Beginners to Build Apps,"Build native mobile apps with Xamarin for Android, iOS and Windows. Learn Xamarin.Forms, improve your Xamarin skills",4.6,"Instructors:
Oak Academy, OAK Academy Team",s12,117,All Levels,E£199.99,,,E£269.99
Xamarin Android: Learn to Build Native Android Apps With C#,"Become a Xamarin Pro Android Developer with C#. Includes Quiz App, Social App, Maps App, Firebase. Build Real World Apps",4.7,"Instructors:
Ufinix Academy, Uchenna Nnodim",s25,198,All Levels,E£849.99,,,"E£1,199.99"
Latest C# ASP.NET Core MVC+ Projects + Web API + Exercises,ASP.NET Core is not difficult! My Projects of 7/8 steps are more than sufficient for a quick and practical transition!,4.7,"Instructor:
Amardeep Singh",32.5,246,All Levels,E£199.99,,,E£269.99
Learn C#: Learn to Code C# like a Pro Developer Course,Get Started with C# Learning all the Basic Concepts of .Net and C# Syntax,4.2,"Instructor:
Chuck McCullough",3.5,51,Beginner,E£199.99,,,E£269.99
Complete C# programming Fundamentals With Example Projects,Master fundamentals of C# programming from beginner to advance & build your C# programming skill with sample projects,4.1,"Instructors:
Emenwa Global, Zoolord Academy",12.5,122,All Levels,E£229.99,,,E£319.99
Learning C# Design Patterns,"A Developer's Guide to Creational, Structural, Behavioural and MVC Patterns",4.7,"Instructor:
Infinite Skills",s6,57,Intermediate,E£199.99,,,E£269.99
Mastering JSON using C#,Mastering JSON using C#,4.0,"Instructor:
Balaji Sridharan",s3,24,Intermediate,E£199.99,,,E£269.99
Learn and Understand C# Delegates fast by coding,"Make your code powerful by using C# Delegates today, and understand it step-by-step through real world examples!",4.6,"Instructor:
Sandor Maraczy",s1,9,Beginner,E£229.99,,,E£319.99
C# Basics for Absolute Beginners in C# and .NET,A guide to learning the fundamentals of C# .NET programming for beginners in C# for starting a C# .NET career,4.2,"Instructor:
Praveenkumar Bouna",2.5,46,Beginner,E£199.99,,,E£269.99
BDD with Selenium Webdriver and Specflow using C#,"Learn Behaviour Driven Development using the two most powerful tool, Webdriver and Specflow with C# as language binding!",4.3,"Instructor:
Rahul Singh Rathore",s29,158,All Levels,E£629.99,,,E£849.99
17 Beginner C# Walkthrough Projects step by step,Learn how to code in C# by building 17 projects,3.5,"Instructor:
Bluelime Learning Solutions",17.5,180,Beginner,E£199.99,,,E£269.99
Learn C# From Scratch with Real Applications,Learn to code in Visual Studio C# from scratch. I have provided HD video lectures and many real C# Applications,4.5,"Instructor:
Volkan Atış",s9,,Beginner,E£229.99,,,E£319.99
Learn Unity Games Engine & C# By Creating A VR Space Shooter,A beginners guide to Unity focusing on making a virtual reality game for the worlds leading headset. ***UPDATED 2022!***,4.7,"Instructor:
Daniel Stringer",5.5,43,Beginner,E£749.99,,Bestseller,E£999.99
Data Structures and Algorithms In C# ( DSA ),Data Structures and Algorithms in C# Using DSA C# Data Structures Algorithms DSA Leetcode C# Data Structures Algorithms,4.3,"Instructor:
Deepali Srivastava",10.5,149,All Levels,E£219.99,,,E£319.99
Learn To Create A First Person Shooter With Unity & C#,Game development made easy. Learn C# with Unity and create your very own FPS game.,4.5,"Instructor:
James Doyle",11.5,92,Beginner,E£199.99,,,E£849.99
C# Programming: Start Coding in C#. Complete C# Programming,C# Programming: Learn the basics of C# programming with this complete C# programming course. C# programming from A-Z,3.5,"Instructor:
Zeeshan: C# Programming",3.5,50,Beginner,E£229.99,,,E£319.99
C# & .NET Core for Beginners,Get up and running with the latest in C# 9 & .NET Core.,4.3,"Instructor:
Chris Hawkes",3.5,35,Beginner,E£419.99,,,E£549.99
Selenium WebDriver with C# for Beginners + Live Testing Site,Selenium is the most popular tool to test websites! Join me and hundreds of students to learn Selenium Webdriver!,4.4,"Instructor:
Tod Vachev",s5,57,All Levels,E£619.99,,,E£819.99
Unity Game Development : Build 5 Games With Unity & C#,Learn Unity Game Development & C# Scripting. Build 5 Complete 2D & 3D Games with Unity & C#.,4.6,"Instructors:
Raja Biswas, Charger Games",s23,122,Beginner,E£629.99,,,E£849.99
C# in 3 Hours: C# Programming Tutorial for Beginners,C# in 3 Hours. C#Made Easy. No Previous Experience Required. Ultimate Guide to C#. Master C# Programming.,4.4,"Instructor:
Ajay Warrier",s3,34,Beginner,E£199.99,,,E£269.99
Functional Programming Deep Dive with C#,Take your code to the next level with Functional Programming in C#. Improve your software’s architecture. C# 9.0.,4.2,"Instructor:
Cory West",3.5,22,Intermediate,E£199.99,,,E£269.99
C#: The Complete Foundation!,"Learn Easy, Learn Smart, Learn it all: The most comprehensive A-Z guide to C#!",4.3,"Instructor:
Danny Boehm",s8,96,Beginner,E£199.99,,,E£269.99
AutoCAD Programming Using C#.NET - Beginner Course,This is your ultimate guide to learning C# programming in AutoCAD.,4.5,"Instructor:
Arnold Higuit",17.5,200,Beginner,E£619.99,,,E£819.99
"What's New in C# 6, C# 7 and Visual Studio 2017","Learn new features of C# 6, C# 7 and Visual Studio 2017 on practical examples",4.2,"Instructor:
Engineer Spock",s1,29,All Levels,E£199.99,,New,E£269.99
C# with WinForms and SQL Create Database Driven Desktop App,"Learn how to program mid-size project with Create, Read, Update and Delete functionality with C#, Windows Forms, and SQL",4.6,"Instructor:
Pavol Almasi",s3,38,Beginner,E£199.99,,,E£269.99
Adventures In C# Programming,Learn C# by programming a text-adventure game,4.6,"Instructor:
Huw Collingbourne",2.5,46,All Levels,E£229.99,,,E£319.99
Master C# & .NET Debugging with Visual Studio 2019,This course teaches you how to use the Visual Studio that have powerful debugging features to hunt down tough bugs.,4.1,"Instructor:
Badran Yahyaoui",1.5,25,Beginner,E£199.99,,,E£269.99
Game Development/Art - Create a 2D Action Game with Unity/C#,"Game development & Game art/animation. Create a 2D top down shooter using Unity 2018, C# and Ps/Gimp.",4.6,"Instructor:
Noa Calice (aka Blackthornprod)",s5,52,Beginner,E£629.99,,,E£849.99
Projects in CSharp : Learn By Building Projects,Learn CSharp By Building Real World Projects,3.6,"Instructors:
Eduonix Learning Solutions, Eduonix-Tech .",2.5,20,All Levels,E£229.99,,,E£319.99
Learn C# with Visual Studio 2017 and Console Programs,With Exercises Throughout the Videos!,4.6,"Instructor:
T O",9.5,89,Beginner,E£199.99,,,E£269.99
C# From Beginner to Advanced,A Complete Guide to learning how to program using C#. Go from Beginner to Advanced level with coding exercises!,3.9,"Instructors:
Ermin Kreponic, Aldin Omerdic",11.5,68,All Levels,E£199.99,,,E£269.99
Master Collection Classes in C# Using Visual Studio,Using ASP.NET Core learn the major collection classes in C#,4.0,"Instructor:
Kaushik Roy Chowdhury",16.5,65,All Levels,E£229.99,,,E£319.99
C# Introduction,Learn the fundamentals of programming in this Microsoft language,4.3,"Instructor:
Intellezy Trainers",9.5,36,Beginner,E£229.99,,,E£319.99
C# OOP : Object Oriented Programming for C# .NET Projects,C# OOP : Object Oriented programming for C# .NET projects C# .NET Interview Questions Intermediate C# Programming OOP,4.1,"Instructor:
Suresh Kumar Srivastava",s4,48,Intermediate,E£199.99,,,E£269.99
C# Basics for Beginners : C# Programming & .NET for Projects,C# Basics for Beginners for C# Projects / C# Coding Interview Questions. C# .NET Programming Fundamentals to build logic,4.3,"Instructor:
Suresh Kumar Srivastava",3.5,43,Beginner,E£229.99,,,E£319.99
C# Language Basics and OOPs for Absolute Beginners,Wonderful blending of Theory and Practicals. Each and every feature is demonstrated with real-time examples.,4.6,"Instructor:
Sandeep Soni",s18,40,Beginner,E£199.99,,,E£269.99
Spice Up Your C# Code With Advanced Language Features,A comprehensive guide on how to spice up your C# code with many advanced language features,4.6,"Instructor:
Mark Farragher",2.5,24,All Levels,E£199.99,,,E£269.99
Accelerated C# And Windows Forms Course for Beginners,"Create fully object oriented programs, complete with business and data classes and libraries.",4.4,"Instructor:
Pavol Almasi",s29,441,Beginner,E£199.99,,,E£269.99
Unity C# Game Development: Learn C# Unity From Scratch,"Unity 2d & unity 3d game dev with C# Unity and become game maker. You will learn to design, create and publish games.",4.4,"Instructors:
Oak Academy, OAK Academy Team",6.5,64,All Levels,E£199.99,,,E£269.99
MCSD 70-483 C# Preparation Course + 2 Full Practice Exams,"MCSD 70-483 C# PREPARATION Course: Methodology, Examples, 2 Exam Tests, SOS Tips + Hints for Passing the Exams.",4.8,"Instructor:
Dr. Chris Mall • 35,000+ Students Worldwide",s9,88,All Levels,E£579.99,,,E£779.99
Advanced C# Course : Become a Backend Developer,"Learn how to implement layered architecture, repository, Ninject, Fluent Validation, AOP, Postsharp, web api and more",4.5,"Instructor:
Engin Demiroğ",s3,22,All Levels,E£229.99,,,E£319.99
SAP Data in .NET C# through SAP Connector,"Link your C# applications with SAP, by usings BAPIs and function modules in .NET",4.3,"Instructor:
Ciprian Muntean",s4,24,Intermediate,E£479.99,,,E£649.99
Unity 2D Master: Game Development with C# and Unity,"From complete beginner to master level with this unique, easy-to-follow Unity 2D course.",4.6,"Instructor:
Mario Korov",7.5,124,All Levels,E£629.99,,,E£849.99
C# WPF: Learn C# WPF Core with MsSQL & EF Core,Create windows apps with C# WPF core. Learn C# WPF with Real Project by using MsSQL & Entity Framework Core (EF Core),4.3,"Instructors:
Oak Academy, OAK Academy Team",s8,63,All Levels,E£749.99,,,E£999.99
How To Program Your Own Breakout Game using Visual C#,"Practice C#.NET with WinForms and Visual Studio Building a 2D desktop game with collision detection, sounds and images!",4.5,"Instructor:
Mohammad El-Haj",s2,24,Intermediate,E£199.99,,,E£269.99
C# and Windows Forms Exercises for Beginners (step by step),Learn Visual C# .net with WinForms by doing programming projects for beginners,4.2,"Instructor:
Pavol Almasi",s24,156,Beginner,E£199.99,,,E£269.99
AutoCAD Programming using C# with Windows Forms,Learn by developing Real World Applications,4.8,"Instructor:
Arnold Higuit",s9,63,Intermediate,E£529.99,,,E£719.99
Learn Multithreading and Parallel Programming in C# and .Net,Understanding in multithreading and asynchronous programming and parallel programming in C# and .Net,4.3,"Instructor:
TheDotNet Office",s5,54,All Levels,E£479.99,,,E£649.99
"Coding for beginners :( HTML,CSS,JavaScript,Python,C#,Ruby)",Learn to code in Six different languages,4.4,"Instructor:
Bluelime Learning Solutions",s22,239,Beginner,E£749.99,,,E£999.99
What’s New in .NET 7 and C# 11,"Stay Current with the Latest Developments in C# 11, C# 10, .NET 7, and .NET 6",4.2,"Instructor:
Praveenkumar Bouna",2.5,32,Beginner,E£199.99,,New,E£269.99
C# Basics for Beginners: Learn C# Fundamentals by Coding,"Master C# Basics in no Time - A Comprehensive Course Packed with Examples, tips and exercises!",3.9,"Instructor:
Educational Engineering Team",2.5,20,Beginner,E£229.99,,,E£319.99
C# for Beginners,Learn C# - an introduction for total beginners,4.4,"Instructor:
Frank Anemaet",s2,31,Beginner,E£229.99,,,E£319.99
C# Logical Puzzles Games & Algorithm Projects (step by step),"Practice C# by coding popular programming puzzles, games, and algorithms exercises",4.7,"Instructor:
Pavol Almasi",s7,44,Beginner,E£199.99,,,E£269.99
C# Console Programming Exercises for Beginners Step by Step,Learn C# by doing programming projects for beginners,4.1,"Instructor:
Pavol Almasi",12.5,83,Beginner,E£199.99,,,E£269.99
Understand asynchronous programming with .NET and C#,"Master the Thread API, the evolution to TPL with async and await, the use of parallel programming and Thread safety",4.0,"Instructor:
Timo | C# Development | .NET | DevOps",3.5,50,Intermediate,E£419.99,,,E£579.99
Naked C#: A Beginner's Guide to Coding,The bare bones of programming without the bling!,4.7,"Instructors:
Penny de Byl, Penny @Holistic3D.com",s8,70,Beginner,E£199.99,,,E£269.99
Comprehensive Introduction to Programming with C#,Practical Problem Solving Approach. Learn Programming by Examples and Practical Assignments with C# and Visual Studio,4.3,"Instructors:
Svetlin Nakov, Preslav Mihaylov",22.5,116,Beginner,E£199.99,,,E£269.99
Desktop Applications with Inventory Software C# .NET,Inventory Management System,4.6,"Instructor:
Ali Raza Sardar Ali",s18,25,All Levels,E£199.99,,,E£849.99
Programming in Microsoft C# - Exam 70-483,Training For Your MCSD: Windows Store Apps Using C# Certification,4.3,"Instructor:
Infinite Skills",8.5,101,Beginner,E£229.99,,,E£319.99
Learn C#.Net Core With Real World Examples,"C# with .Net Framework, .Net Core And .Net Standard Libraries. Inheritance, Polymorphism, dlls, Collections with LINQ...",4.4,"Instructor:
Manzoor Ahmed",s9,16,All Levels,E£199.99,,,E£269.99
TCP/IP Socket Programming in C# .Net For Coders & Students,"C# Networking in TCP IP Socket Library - Examples in WinForms With async/await Tutorial, Client Server Example Code",4.4,"Instructor:
Naeem Akram",4.5,74,All Levels,E£549.99,,Bestseller,E£729.99
C# Restful API and WPF Core with MsSQL & EF Core,"C# Restful API on Web API .Net Core, HTTP, MsSQL, WPF Core with real world Rest API Projects, WPF Core Projects, EF Core",4.4,"Instructors:
Oak Academy, OAK Academy Team",s12,95,All Levels,E£749.99,,,E£999.99
MCSD 70-483 C# | 5 + 1 Real Simulation Practice Tests [2022],Microsoft 70-483 * 6 Practice Exams * Timed * 50 Questions Each * 300 Questions with full explanations & feedback,4.7,"Instructor:
Mall Academy",,,,E£199.99,,,E£269.99
Complete Practical LINQ Tutorial in C#,"LINQ to Entities, LINQ to Objects, LINQ to XML, Functional Programming and LINQ",4.6,"Instructor:
Engineer Spock",4.5,73,All Levels,E£229.99,,,E£319.99
Learn C# Coding Basics for Beginners: C# Fundamentals,Learn in-demand C# Basics to level up your career as a Professional - by Microsoft Certified Professional,4.0,"Instructor:
Metla Sudha Sekhar",s7,86,Beginner,E£199.99,,,E£269.99
Create Games With C# & WinForms (step by step for beginners),Project-based Learning: Create simple games using C# with WinForms (Windows Forms) without frameworks or libraries,4.5,"Instructor:
Pavol Almasi",s9,116,Beginner,E£199.99,,,E£269.99
C# Programming Crash Course,Dive deep into C# programming,4.2,"Instructor:
Stone River eLearning",s9,108,All Levels,E£229.99,,,E£319.99
Learn C Sharp Programming From Scratch,Ultimate Guide to Learn and Master C Sharp .NET,3.5,"Instructors:
Eduonix Learning Solutions, Eduonix-Tech .",s6,46,All Levels,E£229.99,,,E£319.99
API in C#: The Best Practices of Design and Implementation,Learn how to write clean code in C#. Design and implement API based on the best practices developed by .NET community.,4.3,"Instructor:
Engineer Spock",3.5,64,All Levels,E£629.99,,,E£849.99
"Windows Service Programming, Debugging, Installing in C#.Net","Windows Service Tutorial: How to Create Windows Services in C# .Net/Visual Studio, Windows Service debugging techniques",4.1,"Instructor:
Naeem Akram",1.5,29,All Levels,E£199.99,,,E£269.99
Microsoft 70-483: Programming in C# .NET (PART 1 of 2),This course is Part 1 of 2. Please read course description for more information.,4.5,"Instructor:
Stone River eLearning",s16,471,All Levels,E£199.99,,,E£269.99
From Zero Step by Step C# for Revit API for PlugIn Creation,Start from Zero a Plugin Creation Journey for Autodesk Revit using C# and the Revit API.,4.3,"Instructor:
Enrique Galicia",s3,33,Beginner,E£449.99,,,E£599.99
Design Patterns In C# for Software Projects & Architecture,Design Patterns in C# OOP .NET for C# Projects Software Architecture Using GoF Design Patterns System Analysis UML OOP,3.8,"Instructor:
Suresh Kumar Srivastava",s6,90,All Levels,E£199.99,,,E£269.99
Boost Your C# With Structural And Creational Design Patterns,A complete guide to the first 12 structural and creational design patterns from the famous book by the Gang Of Four.,4.0,"Instructor:
Mark Farragher",s4,22,All Levels,E£749.99,,,E£999.99
Develop 3D hyper-casual mobile games with Unity and C# 2024,The ultimate course to learn how to create amazing Casual & Hyper Casual mobile games with Unity & C# from A to Z,4.6,"Instructors:
Anthony Cardinale | C#, Unity, Blender, Unreal, IA, Claire | Hyper-casual game development with Unity",s24,92,All Levels,E£629.99,,,E£849.99
Building .NET Windows Applications using C# and WinForms,Learn to develop GUI Applications with real time case studies and examples.,4.4,"Instructor:
Sandeep Soni",s9,18,Intermediate,E£199.99,,,E£269.99
Xamarin: Build Native Cross Platform Apps with C# Codes,"Use your C# skills, learn to build native mobile apps with Xamarin for Android, iOS and Windows | Xamarin C# ( uwp )",4.2,"Instructors:
Oak Academy, OAK Academy Team",s7,78,Beginner,E£229.99,,,E£319.99
Secure Coding and Design Best Practices in C#,Secure Coding in C# with Design Principles and practice - Quick Start Course,4.1,"Instructor:
Basics Strong",s3,48,Beginner,E£629.99,,,E£849.99
C# Basics with .NET Core for Beginners: Learn by Coding,Master C# Basics with .NET Core - The Most in-depth Course with Live Coding and Practical Assignments in Every Topic,4.2,"Instructor:
Thomas Plathanath Mathew",s28,158,Beginner,E£199.99,,,E£269.99
C# Programming from Zero to Hero : The Fundamentals,Learn C# programming using a hands on approach.,3.3,"Instructor:
University of Geeks",2.5,37,Beginner,E£229.99,,,E£319.99
C# Certification Mastery: Challenge Your Knowledge and Earn,Discover Where You Stand in C# Programming and Identify Areas for Improvement with Timed Practice Exams!,4.4,"Instructor:
Ashraf Said AlMadhoun",,,,E£229.99,,,E£319.99
"Robust REST APIs and Clients in C#, ASP.NET Core, HttpClient",How to create professional REST APIs and REST API Clients in C# using ASP.NET Core and HttpClient,4.6,"Instructor:
Nathan LaFratta",2.5,52,Intermediate,E£199.99,,,E£269.99
C# And Visual Studio Productivity Masterclass,"Double Your Coding Speed Using C#, Visual Studio, Resharper And Other Powerful Extensions",4.3,"Instructors:
Denis Panjuta, Tutorials.eu by Denis Panjuta",2.5,67,All Levels,E£629.99,,,E£849.99
C# Tutorial - Fundamentals for Beginners,Learn C# programming quickly and easily and start your career as a professional C# programmer.,4.4,"Instructor:
Stefanos Arapakis",3.5,34,Beginner,E£199.99,,,E£269.99
C# : Problem solving in C# (Looping's and Decision Making),"Problems on Looping ,decision making",4.0,"Instructor:
Suprio Dutta",1.5,24,All Levels,E£199.99,,,E£269.99
Visual Studio Mastery with C# - Double Your Productivity,"Wide variety of shortcuts and tools to be more productive with VS with footage from my RGB Keyboard! Snippets, Comments",4.4,"Instructor:
Tod Vachev",1.5,27,Beginner,E£619.99,,,E£819.99
Make Your First 2D Game with Unity & C# - Beginner Course,Beginner Course to Game Development : Learn how to use Unity and Program in C# by Making a Small 2D Game from A to Z.,4.4,"Instructor:
Noa Calice (aka Blackthornprod)",s4,45,Beginner,E£749.99,,,E£999.99
Software Development Master Class - Intermediate C#,Intermediate Programming Concepts with .Net Core and C#,4.3,"Instructor:
Mike Witt",7.5,39,Intermediate,E£199.99,,,E£269.99
Programming for beginners with : C++ | C# | Java | Python,Learn to code from scratch with C++ | C# | Java | Python,4.5,"Instructor:
Bluelime Learning Solutions",15.5,157,Beginner,E£199.99,,,E£269.99
The Ultimate Guide To C# Unity Programming (2023),Master Unity's Engine (2022) and C# Programing By Creating A Fun 2D Platformer Using Modern Unity Development Technics,4.6,"Instructor:
Michael Murr",10.5,49,Beginner,E£629.99,,,E£849.99
"C# in Depth: Puzzles, Gotchas, Questions at Interviews",C# Tips and Traps: learn things you didn’t know and become a more robust advanced C# programmer,4.5,"Instructor:
Engineer Spock",4.5,56,Intermediate,E£229.99,,,E£319.99
"MSSQL with C# WPF Core Project, MVVM by Using EF Core","Learn Ms SQL Server, MsSQL Backup & Recovery with SQL course how to connect C# WPF core to SQL with EF on Real Project",4.6,"Instructors:
Oak Academy, OAK Academy Team",s13,98,All Levels,E£199.99,,,E£269.99
Learn to create database Apps Using C# and SQL Server,Build and Program Database driven projects,4.5,"Instructor:
Bluelime Learning Solutions",s3,35,Beginner,E£199.99,,,E£269.99
C# Introduction For Absolute Beginners. Basic C# coding,"C# basics from installation to execution, detecting errors amending them and building logic to solve problems.",3.6,"Instructor:
Raja Haris",s3,18,Beginner,E£199.99,,,E£269.99
Learning Unity and C# for Complete Beginners,Learn how to make your first video game by making a BomberMan Style 3D game using the Unity Game Engine and C#,4.9,"Instructor:
MetalStorm Games",24.5,207,Beginner,E£749.99,,,E£999.99
Coding for actual beginners (C# / Unity / Game development),Tired of 'beginner' coding tutorials not really being for beginners? Never touched code in your life? This is for you.,4.7,"Instructor:
Matt Sharp",5.5,27,Beginner,E£199.99,,,E£269.99
C# Windows Forms,"Windows Forms controls and Connecting to MySQL Database, MSSQLSERVER Database and Northwind"".mdb"" database",3.1,"Instructor:
Olga Karpushin",s2,99,Expert,E£219.99,,,E£319.99
Transaction Management in SQL Server and C#,Learn transaction control mechanisms to build database apps that ensure integrity and consistency in SQL Server and C#,3.7,"Instructor:
Husam Nujaim",s5,29,All Levels,E£229.99,,,E£319.99
A Gentle Intro To Game Development Using C# and MonoGame,Creating 2D Games in a Non-Intimidating Fully Coded Experience Way for Beginners,4.3,"Instructor:
Charlie Chiarelli",s14,66,Beginner,E£199.99,,,E£269.99
Design Patterns using C# and .NET Core,"Produce high-quality, reliable code faster. Solve problems in the most elegant way possible",4.2,"Instructor:
Packt Publishing",4.5,26,Intermediate,E£479.99,,,E£649.99
Learn C# and make a videogame with Unity,Learn how to create your own videogames with Unity with C# the fastest and easiest way to learn how to program csharp,4.4,"Instructors:
Hidran Arias, María Santos",12.5,83,All Levels,E£199.99,,,E£269.99
Mastering ASP.NET 4 Using C# - Part 2,Explore ASP.NET Data Web Controls - Step By Step,4.8,"Instructor:
Kameswara Sarma Uppuluri",10.5,81,Intermediate,E£199.99,,,E£269.99
Visual C# and ADO.NET Programming,Case Study - Payroll System,4.1,"Instructor:
Everest Nwosu",9.5,51,Beginner,E£199.99,,,E£269.99
C# Test Automation Engineer - from Zero to Hero,3 coureses in 1! Practical guide to become a Professional QA Automation Engineer in C#/.NET (AQA),4.4,"Instructor:
Tigran Ter-Karapetyants",13.5,99,All Levels,E£199.99,,,E£269.99
Unity Android : Build 3D ZigZag Racing Game with Unity & C#,"Learn Unity Android Game Development, Build A Complete 3D ZigZag Racing Game, Monetize with Ads, Publish on Google Play",4.8,"Instructor:
Raja Biswas",s12,70,Beginner,E£749.99,,,E£999.99
C# Developer - Windows Forms |ASP.NET Core | MVC | | Entity,Become a C# Developer with: - C# | ASP.NET Core | MVC |Entity Framework |Windows Forms | Visual Studio,4.6,"Instructor:
Bluelime Learning Solutions",5.5,66,Beginner,E£199.99,,,E£269.99
UDP Socket Programming For Distributed Computing in C#.Net,"Socket programming tutorial, make chat application in C# .Net, IoT/VoIP distributed applications & network programming",4.4,"Instructor:
Naeem Akram",s3,50,All Levels,E£199.99,,,E£269.99
Learn to code by creating 14 projects with JavaScript and C#,Learn to write computer code by creating 14 projects from scratch using JavaScript and C# Programming language,3.2,"Instructor:
Skill Tree",s12,124,Beginner,E£199.99,,,E£269.99
Software Design: Functional Programming in C#,Learn the principles of Functional Programming & how to apply them with the power of C# to improve software architecture,3.7,"Instructor:
Engineer Spock",s4,64,All Levels,E£229.99,,,E£319.99
Object Oriented Programming with C#,Master your skills with C# using Object Oriented Programming,4.6,"Instructor:
Ali Raza Sardar Ali",s5,19,All Levels,E£199.99,,,E£269.99
Python and C# for beginners: Create 12 Projects,Learn Python and C# by building 12 projects,4.2,"Instructor:
Bluelime Learning Solutions",9.5,90,Beginner,E£199.99,,,E£269.99
Learn to Code with C# by Creating 7 Complete Apps .,Create 7 Apps from scratch using C# Step by Step.,3.9,"Instructor:
Tech Academy",s4,44,Beginner,E£229.99,,,E£319.99
Mastering ASP.NET and ADO.NET with C#,The best course to learn ASP.NET and ADO.NET using C#,4.1,"Instructor:
Insculpt Technologies",s5,83,All Levels,E£229.99,,,E£319.99
"CRUD application using C#, PostgreSQL, Windows Forms","CRUD application using C#, PostgreSQL, Windows Forms",4.1,"Instructor:
Peder Thornstrom",4.5,25,Beginner,E£199.99,,,E£269.99
C# Basics: Learn to Code the Right Way,"Learn C# Using this Course, Then Move on to Make Windows, Server and .Net Applications!",4.4,"Instructor:
Grant Klimaytys",1.5,14,Beginner,E£199.99,,,E£269.99
C# .NET Database and XML Applications,Implementing Real-World Examples,4.4,"Instructor:
Rick Phillips",s4,15,Intermediate,E£199.99,,,E£269.99
Learning Path: Application Development with C# and ASP.NET,Learn the tools that equip you to build robust applications and optimize their performance,3.9,"Instructor:
Packt Publishing",s10,103,Beginner,E£229.99,,,E£319.99
