Course Name,Description,Rate,Instructor,Total Hours,lectures,Level,Number Of Rated Users,Status,Original Price,Price Value,Business Exception,New Price,_Price
"Windows Process, Threads and Synchronization Concepts - C++",Windows Threading And Synchronization,4.1,"Instructor:
Vikash Shakya",7,42,Intermediate,,,E£269.99,199.99,,6.467676600000001,6.467676600000001USD
C++ Software Developer Interview Preparation,"Prepare yourself for advanced C++, STL, data structures and algorithms interview questions",4.1,"Instructor:
Tegaru Labs",,,,,,E£269.99,199.99,,6.467676600000001,6.467676600000001USD
C++ Programming - From Scratch to Advanced,Learn C++ from the basics to the advanced concepts.,4.4,"Instructor:
Sujithkumar MA",10,89,All Levels,,,E£269.99,199.99,,6.467676600000001,6.467676600000001USD
C++ Programming- Beginner to Expert 2022,Designed for people who don't have any knowledge about the programming and want to program in C++,4.5,"Instructor:
Happy Learnings",5.5,43,Expert,,,E£269.99,199.99,,6.467676600000001,6.467676600000001USD
"Coding Interview Bootcamp: Algorithms (Java, Python, C++)",Get ready in a Month + Help from Google/Facebook Interviewer with 1000+ coding questions experience,4.9,"Instructor:
CodeMan Liu",13,174,All Levels,,,E£269.99,199.99,,6.467676600000001,6.467676600000001USD
C++ Programming MADE EASY : A Concise C++ Course,A complete beginner's guide to learn C++ from scratch. Learn to write your own code.,3.6,"Instructor:
XL Teaching",,6,All Levels,,,E£269.99,199.99,,6.467676600000001,6.467676600000001USD
C++ Working with Files - fstream I/O library,Learn how to easily use the fstream library with the help of expert. Handle file operations without any problems!,4.4,"Instructor:
Arkadiusz Włodarczyk",3,19,All Levels,,,E£749.99,199.99,,6.467676600000001,6.467676600000001USD
Learn C++ File Handling Project (console): Mini Database,C++ File Handling Project (Console based) :Mini database: Student Database Management System & Result Calculation System,4.3,"Instructor:
Sarah Naseem",5.5,27,Intermediate,,,E£269.99,199.99,,6.467676600000001,6.467676600000001USD
Demystifying Containers in STL in C++,Let's explore the magical world of STL containers,3.6,"Instructors:
Bhalchandra Gholkar, Daryl Newell",3,17,Intermediate,,New,E£269.99,199.99,,6.467676600000001,6.467676600000001USD
C++ STL Complete Course,STL made simple,3.9,"Instructor:
Daniel-Nicolae Dima",3.5,22,Beginner,,,E£269.99,199.99,,6.467676600000001,6.467676600000001USD
Learn to code with C++ UE5 Game Development,Make a game in Unreal with C++ programming!,4.8,"Instructors:
Mammoth Interactive, John Bura",4.5,33,Beginner,,,E£269.99,199.99,,6.467676600000001,6.467676600000001USD
Complete C++ Programming Course with OOP's Concept,"Learn C++ Programming from very basics to OOP's topics like Inheritance, Polymorphism with Linked List, Stacks , Queues",4.1,"Instructor:
Kunal Gupta",33.5,138,All Levels,,,E£269.99,199.99,,6.467676600000001,6.467676600000001USD
Advanced C++ Programming Training Course,Take your C++ Programming Training Course Will Take Your Skills To The Next Level.,4.5,"Instructor:
Infinite Skills",6.5,81,All Levels,,,E£269.99,199.99,,6.467676600000001,6.467676600000001USD
C++17: From Zero to Programmer: 2-in-1,"Take your C++ coding to the next level by building high performing, reliable applications with C++17",3.5,"Instructor:
Packt Publishing",6.5,54,Beginner,,,E£269.99,199.99,,6.467676600000001,6.467676600000001USD
C++: From Scratch to High-Performance Applications,Take your skills up a notch & code for enterprise software and applications build robust and fast applications with C++,4.0,"Instructor:
Packt Publishing",7.5,70,Beginner,,,E£269.99,199.99,,6.467676600000001,6.467676600000001USD
Learn C++ Programming for beginners from basics to advanced,Learn C++ programming from scratch with best examples,3.6,"Instructor:
Doedu education",8.5,107,Beginner,,,E£269.99,199.99,,6.467676600000001,6.467676600000001USD
Learn the basics of C++ fast! Learn how to Develop Software,"Learn the basics of C++ from scratch, watch video tutorials and do quizzes to learn C++ Bootcamp",4.4,"Instructor:
Daniel Hovd",2,34,Beginner,,,E£269.99,199.99,,6.467676600000001,6.467676600000001USD
Mastering C++ Standard Library Features,Harness the power of the C++ STL and make full use of its components,4.2,"Instructor:
Packt Publishing",6,28,Intermediate,,,E£269.99,199.99,,6.467676600000001,6.467676600000001USD
Python programming for C++ developers,A quick switch from C++ to Python,3.9,"Instructor:
Basit Ali",6.5,59,Intermediate,,,E£269.99,199.99,,6.467676600000001,6.467676600000001USD
PREPARE TO CRACK INTERVIEW IN C++(0-5Yrs Experience),Basics to advanced concepts with explanation includes C++11/14/17! Grow your knowledge in C/C++ to next level.,4.1,"Instructor:
Subrata Kumar Swain",,,,,,E£269.99,199.99,,6.467676600000001,6.467676600000001USD
Learn C++ From Scratch - A Hands On Course,Learn some of the basics and advanced of C++ from scratch. A complete hands on course of c++!,2.3,"Instructor:
Learning Hub",,5,All Levels,,,E£269.99,199.99,,6.467676600000001,6.467676600000001USD
Object Oriented Programming in C++ Inside Out,The most powerful and versatile of all the Object Oriented Languages available on earth as on now. Worth learning !,4.1,"Instructor:
Prof . Mathew K K Kanhirathinkal Kurian",26,18,All Levels,,,E£269.99,199.99,,6.467676600000001,6.467676600000001USD
C++ Object Oriented Programming From Scratch,Learn The Biggest Invention of Programming World and Enhance your View To see The World Of softwares Differently,4.0,"Instructor:
Lharrach Abdellah",1,12,Intermediate,,,E£269.99,199.99,,6.467676600000001,6.467676600000001USD
A Complete Introduction to the C++ Programming Language,Learn the C++ programming language with a step-by-step introduction of all the important concepts and language features.,4.2,"Instructor:
Dmitri Nesteruk",3,67,All Levels,,,E£269.99,199.99,,6.467676600000001,6.467676600000001USD
Part A - Network Protocol Development in C ( from scratch ),"Network Coding Project for Network Core Developers, Linux, System Programming, Operating systems, Projects in C/C++",4.1,"Instructors:
Abhishek CSEPracticals, Ekta Ekta, Shiwani Nigam",12.5,119,Intermediate,,,E£649.99,199.99,,6.467676600000001,6.467676600000001USD
Demystifying Bitwise Operations In C,Important and Common Uses of Lower Level Operations in C and C++,4.3,"Instructors:
Bhalchandra Gholkar, Daryl Newell",2.5,17,Intermediate,,New,E£269.99,199.99,,6.467676600000001,6.467676600000001USD
Complete C++ Programming with Data Structures and Algorithms,"C++ Programming basics to Arrays, Strings, Pointers, Recursion, OOP's, Linked Lists, Stacks, Queues, Trees, Graphs ,DP",4.1,"Instructor:
Kunal Gupta",56.5,242,All Levels,,,E£269.99,199.99,,6.467676600000001,6.467676600000001USD
C/C++ 1000: GNU For Beginners,Exploring the C/C++ Commons (GNU C/C++ 1000),4.0,"Instructor:
Randall Nagy",9,57,Beginner,,,E£269.99,199.99,,6.467676600000001,6.467676600000001USD
GNU C/C++ 3000: For Advanced Students,Applied Object Orientation (GNU C/C++ 3000),3.2,"Instructor:
Randall Nagy",7.5,58,Intermediate,,,E£269.99,199.99,,6.467676600000001,6.467676600000001USD
4 Practice Tests for any C++ Certification,Practice for any c++ certification test. Pass any c++ certification exam in one go.,4.1,"Instructor:
Nishant Tiwari",,,,,,E£269.99,199.99,,6.467676600000001,6.467676600000001USD
Learn C++ Game Development for Beginners Step by Step 2023,Learn the basics of C++ to prepare you for game development programming!,4.6,"Instructor:
Ameen Bineabade",6,34,All Levels,,,E£269.99,199.99,,6.467676600000001,6.467676600000001USD
Java And C++ And PHP Complete Course 2023,"Learn C++ Programming ,Java Programming language And PHP Programming In this Complete Course",4.4,"Instructor:
Krish valley",8.5,115,Beginner,,,E£269.99,199.99,,6.467676600000001,6.467676600000001USD
C++ Programming from Zero to Hero : The Fundamentals,Learn C++ programming using a hands on approach,4.0,"Instructor:
University of Geeks",3.5,57,Beginner,,,E£269.99,199.99,,6.467676600000001,6.467676600000001USD
Master C++ Pointers and Smart Pointers,"pointers, shared_ptr, unique_ptr and weak_ptr in C++",3.9,"Instructor:
Abhishek Kumar",1.5,16,Intermediate,,,E£269.99,199.99,,6.467676600000001,6.467676600000001USD
Conway's Game of Life with SDL2 and C++,Get started with C++ game development using SDL2,4.3,"Instructor:
David Long",1.5,7,Beginner,,,E£269.99,199.99,,6.467676600000001,6.467676600000001USD
Learning C++ Memory Management,Aimed at intermediate programmers this course shows you how to use Memory Management when coding in C++,3.1,"Instructor:
Infinite Skills",1,11,All Levels,,,E£269.99,199.99,,6.467676600000001,6.467676600000001USD
Understanding basics of programming with C/C++,"Most cars, IoT devices or embedded devices have their software written in C/C++. Wonder why?",4.7,"Instructors:
ITUniversity.RO Academy, Gabriel Avramescu",1.5,20,Beginner,,,E£269.99,199.99,,6.467676600000001,6.467676600000001USD
C++ Programming: The Coding Interview,Ace your next C++ coding interview by mastering data structures and algorithms.,4.3,"Instructor:
Programming Made Easy",2.5,30,Beginner,,,E£269.99,199.99,,6.467676600000001,6.467676600000001USD
Flappy Bird Clone - The Complete SFML C++ Game Course,Game Programming Course To End All Courses,3.9,"Instructor:
Frahaan Hussain",5.5,37,Beginner,,,E£269.99,199.99,,6.467676600000001,6.467676600000001USD
Quick Integration of CLI interface to C/C++ Projects/Apps,"System programming - Integrate Linux like CLI interface to your C/C++ programs/projects quickly, Operating Systems",4.5,"Instructors:
Abhishek CSEPracticals, Shiwani Nigam, Ekta Ekta",1.5,15,Beginner,,,E£269.99,199.99,,6.467676600000001,6.467676600000001USD
Learn Data Structures and Algorithms using c++,"Concepts and coding of various data structures and algorithms like Trees, Linked List, Stack, Queue, Sorts and many more",4.6,"Instructor:
Muhammad Hamza AbdulRehman",2.5,47,All Levels,,,E£269.99,199.99,,6.467676600000001,6.467676600000001USD
Learn C++ by Creating,Learn Programming Basics in C++ with a project based approach,3.7,"Instructor:
Andrew Volk",1.5,16,Beginner,,,E£269.99,199.99,,6.467676600000001,6.467676600000001USD
"Python, Java,C#, C++ & C Programming Practices For Beginners","Supercharge your software programming skill with best practices in Python, Java, C#, C++ & C. 5 Programming Courses in 1",4.0,"Instructors:
Emenwa Global, Zoolord Academy",60,547,Beginner,,,E£269.99,199.99,,6.467676600000001,6.467676600000001USD
Computer Vision by using C++ and OpenCV with GPU support,Learn how to Use OpenCV with GPU support on Ubuntu OS,3.7,"Instructor:
Ibrahim Delibasoglu",3.5,27,Intermediate,,,E£269.99,199.99,,6.467676600000001,6.467676600000001USD
"Object-Oriented Programming for beginners: Python, C++, C#","Learn Object Oriented Programming with Python, C++, C#",4.6,"Instructor:
Bluelime Learning Solutions",6,58,Beginner,,,E£269.99,199.99,,6.467676600000001,6.467676600000001USD
C++ Programming - Beginners to Beyond,Learn C++ basics and advanced concepts. Take your C++ programming to the next level.,3.4,"Instructor:
Smart Coders Hub",14,48,All Levels,,,E£269.99,199.99,,6.467676600000001,6.467676600000001USD
Java And C++ And PHP Crash Course For Beginners,"Get Started With C++ Programming, Java Programming And PHP Programming in This Crash Course",4.1,"Instructor:
Krish valley",2.5,43,Beginner,,,E£269.99,199.99,,6.467676600000001,6.467676600000001USD
Intermediate Level C++,Gain knowledge and build your understanding about some of the key concepts of Intermediate C++.,3.8,"Instructor:
Khuram Zahid",1.5,9,Intermediate,,,E£269.99,199.99,,6.467676600000001,6.467676600000001USD
Data Types In C++,Learn Data types in C++ from scratch,4.0,"Instructor:
Learn Pro",1,6,All Levels,,,E£269.99,199.99,,6.467676600000001,6.467676600000001USD
Learn C++ Programming The Easy Way,Learn how to program in C++ from a seasoned veteran and former University course,4.3,"Instructor:
W S",2,28,Beginner,,,E£269.99,199.99,,6.467676600000001,6.467676600000001USD
Learn C and C++ Bootcamp for Beginners,Master the C and C++ programming language with easy to understand examples,4.3,"Instructor:
EDUmobile Academy",5,45,All Levels,,,E£269.99,199.99,,6.467676600000001,6.467676600000001USD
Data Structure with C++ : Zero to Hero,"Learn about Pointers , Arrays, Linked Lists, Stacks and Queues, Graph, Binary Trees, Heap & Priority Queue, Sorting etc.",4.1,"Instructor:
Up Degree",8,55,Intermediate,,,E£269.99,199.99,,6.467676600000001,6.467676600000001USD
C++ Programming 2022- Beginner to Expert,C++ Programming with real time examples,3.9,"Instructor:
Happy Learnings",5.5,45,Expert,,,E£269.99,199.99,,6.467676600000001,6.467676600000001USD
C++ And PHP Complete Course 2023,Learn C++ Programming Language And PHP Programming Language Complete Course 2023,4.4,"Instructor:
Krish valley",4.5,63,Beginner,,,E£269.99,199.99,,6.467676600000001,6.467676600000001USD
Unreal Engine 4: Top-Down Shooter Using C++ & Blueprint,A Top Down Game Where You Shoot Enemies That Multiply,4.5,"Instructor:
Luke Jeffers",6.5,36,Intermediate,,,E£269.99,199.99,,6.467676600000001,6.467676600000001USD
Digital Diversity/Cyber-Citizen/Cross-Cultural Communication,"Learn Global Leadership, Communications, Listening, and Conflict Management Skills for Teams",4.5,"Instructor:
Elizabeth C. Pagé",2,50,All Levels,,,E£269.99,199.99,,6.467676600000001,6.467676600000001USD
Linux System Programming using C and C++(Practical Approach),"Practical approach to Linux c-system programming for fork, thread, semaphore IPC, etc",4.3,"Instructor:
Shakil khan",6,33,All Levels,,,E£269.99,199.99,,6.467676600000001,6.467676600000001USD
Parsing TCP Socket Data with C/C++,The correct TCP data handling solution using C++,2.9,"Instructor:
Jay Kim",,14,Beginner,,,E£269.99,199.99,,6.467676600000001,6.467676600000001USD
Crash Course on C++ Standard Template Library (STL),First step to master Data structures.,3.8,"Instructor:
Harshit Jain",2.5,24,Beginner,,,E£269.99,199.99,,6.467676600000001,6.467676600000001USD
Tic-Tac-Toe Clone - The Complete SFML C++ Game Course,Ultimate SFML Game Development Course,3.5,"Instructor:
Frahaan Hussain",3.5,19,Beginner,,,E£269.99,199.99,,6.467676600000001,6.467676600000001USD
Mathematical Algorithms in Computing using C++,Learn how to implement mathematical algorithms in code.,3.8,"Instructor:
Khuram Zahid",1.5,7,All Levels,,,E£269.99,199.99,,6.467676600000001,6.467676600000001USD
C++ Development Tutorial Series - The Complete Coding Guide,"Learn how to use C++, a language that is supported on all major platforms and powers millions of applications.",4.0,"Instructor:
Frahaan Hussain",5.5,106,All Levels,,,E£269.99,199.99,,6.467676600000001,6.467676600000001USD
Function Guide In C++,Know the basics of C++ in this course. Hands on practical videos added!,3.9,"Instructor:
XL Teaching",,5,All Levels,,,E£269.99,199.99,,6.467676600000001,6.467676600000001USD
C++ from Beginners to Object Oriented Data Structures,"Jump start your C++ Programming Skills through Practical Projects with Basics to Linked Lists , Trees , Pointers, Header",4.2,"Instructors:
Muhammad Luqman, Zaheer Ahmed",4.5,26,Beginner,,,E£269.99,199.99,,6.467676600000001,6.467676600000001USD
Learning Path: Unreal Engine: Master Unreal Engine 4.x,Probe deep to enhance your game development proficiency using Unreal Engine 4.x with key elements of C++,4.1,"Instructor:
Packt Publishing",7,46,Beginner,,,E£269.99,199.99,,6.467676600000001,6.467676600000001USD
C++ Multi-Threading And Thread Safety,Become A Multi-Threading Expert,4.2,"Instructor:
Daniel McCarthy",,4,Beginner,,,E£269.99,199.99,,6.467676600000001,6.467676600000001USD
Dlang: The Complete D programming Language Course (Next C++),"D Language: Learn basics to intermediate and OOP (Dlang has C, C++, C#, Java & Python features and Impacted Go & Swift)",3.7,"Instructor:
Nikoloz Sanakoevi",5,52,Beginner,,,E£269.99,199.99,,6.467676600000001,6.467676600000001USD
Unreal 5 C++ Game - Beginner's Masterclass,Learn To Build A Unreal 5 C++ Game Like A Pro,3.9,"Instructors:
Mammoth Interactive, John Bura",4,41,All Levels,,,E£269.99,199.99,,6.467676600000001,6.467676600000001USD
200+ Questions - Job Interview - C++ Developer,Prepare for an interview for the position of C++ Developer!,3.2,"Instructor:
takeITeasy Academy",,,,,,E£269.99,199.99,,6.467676600000001,6.467676600000001USD
Inter Process Communication using C++ & CPP-ZMQ Library,Understand IPC through messaging in a very simplest way & can use in realtime project,4.4,"Instructor:
Subrata Kumar Swain",2,20,Intermediate,,,E£269.99,199.99,,6.467676600000001,6.467676600000001USD
Create a Store Inventory GUI Application with C++ and Qt,A Codestars Professional Course,4.3,"Instructors:
Codestars • over 2 million students worldwide!, John P. Baugh",3.5,14,Intermediate,,,E£269.99,199.99,,6.467676600000001,6.467676600000001USD
Brick Breaker Game in most Powerful C++ graphic library SDL2,English,3.7,"Instructor:
Khan School",2,23,Beginner,,,E£269.99,199.99,,6.467676600000001,6.467676600000001USD
C++ programming in Qt FrameWork Part I,Get a solid base in GUI Creation in c++ using Qt Framework,4.3,"Instructor:
Lharrach Abdellah",4,35,All Levels,,,E£269.99,199.99,,6.467676600000001,6.467676600000001USD
Make GTA Type game Unreal Engine C++ | beginner - Moderate,Make Open world game using Unreal Engine 5 C++,4.1,"Instructor:
Mr. Singh",10.5,23,Beginner,,,E£269.99,199.99,,6.467676600000001,6.467676600000001USD
QT C++ GUI Tutorial For Beginners,"if you're C++ programmer, Qt is your framework. No rival.",4.0,"Instructor:
Yogesh Patel",9,53,All Levels,,,E£269.99,199.99,,6.467676600000001,6.467676600000001USD
Design Patterns with C++,Software Design Patterns in theory with implementations using C++,3.1,"Instructor:
Onur Tuna",2.5,30,All Levels,,,E£269.99,199.99,,6.467676600000001,6.467676600000001USD
Learn Embarcadero Borland C++ Builder in 1 hour,"Create form-based apps similar to Visual Basic, where you drag and drop buttons, input boxes, labels etc onto forms.",4.2,"Instructor:
Paul Chin",1.5,11,Beginner,,,E£269.99,199.99,,6.467676600000001,6.467676600000001USD
Learn C++ with Interactive Sessions,Learn C++ coding from basic to intermediate level. Learn from functions to loops to complex programs.,3.8,"Instructor:
Riya Mishra",13,208,All Levels,,,E£269.99,199.99,,6.467676600000001,6.467676600000001USD
The GNU Make and C++ Programmer's Primer,"Creating Makefiles, Applications, and Libraries using the GNU Tool Set",4.3,"Instructor:
Randall Nagy",1,11,Beginner,,,E£269.99,199.99,,6.467676600000001,6.467676600000001USD
Learn C++ Programming :Tactics to learn OOPS Concept easily,you will understand the c++ basic concepts and OOPS concepts clearly.,3.6,"Instructor:
Manjula vimalesh",3.5,34,Intermediate,,,E£269.99,199.99,,6.467676600000001,6.467676600000001USD
C++ Object-Oriented Programming for Beginners,"Learn C++ Object-Oriented Programming, Classes, Objects, Inheritance, Polymorphism, Methods, Control Structures.",3.1,"Instructor:
A. O",1,21,All Levels,,,E£269.99,199.99,,6.467676600000001,6.467676600000001USD
A Rookie's Guide to C++,The complete beginners guide to C++ programming.,3.7,"Instructor:
Harry Wainwright",5,47,Beginner,,,E£269.99,199.99,,6.467676600000001,6.467676600000001USD
Algorithms and Data Structures in C++ (2020),"Learn Algorithms and Data structures in C++, get ready for enginnering interview",3.3,"Instructor:
Luke's Programming School",2.5,38,All Levels,,,E£269.99,199.99,,6.467676600000001,6.467676600000001USD
Pointers in C - Simple Examples and Memory Location Diagrams,"Learn Pointers in C/C++ with examples Memory concepts, Addresses and set a solid foundation of Pointers",4.3,"Instructor:
Mudassar Naseem",2,16,All Levels,,,E£269.99,199.99,,6.467676600000001,6.467676600000001USD
Searching and Sorting Algorithms,Visualize Searching and Sorting Algorithms and Implement them in C++,4.2,"Instructor:
Sujithkumar MA",4.5,29,All Levels,,,E£269.99,199.99,,6.467676600000001,6.467676600000001USD
Learn Basics of Data Structures & Algorithms in C++,Covers Types & Search Algorithms with implementation in C++ & Analysis of Complexity with Interview Based Questions,3.8,"Instructor:
Mehak Mahajan",4,21,Beginner,,,E£269.99,199.99,,6.467676600000001,6.467676600000001USD
Make Death Race Unreal Engine C++ | beginner - Moderate,Make Death Race game using Unreal Engine 5 C++,3.7,"Instructor:
Mr. Singh",9,22,Beginner,,,E£269.99,199.99,,6.467676600000001,6.467676600000001USD
Complete ROS Start Guide - Windows/Mac/Linux - C++/Python,These Tutorials on Robot Operating System will get you up and running fast!,4.1,"Instructor:
Daniel Stang, MSc",7,31,All Levels,,,E£269.99,199.99,,6.467676600000001,6.467676600000001USD
C++ programming in Qt Framework: Part II,learn how to make your softwares more complex Using Qt FrameWork And take Your programming skills to the next level.,4.3,"Instructor:
Lharrach Abdellah",1.5,21,Intermediate,,,E£269.99,199.99,,6.467676600000001,6.467676600000001USD
Win32 API C++ Tutorial Ebonygeek45,Learn how to create and work with widows for your programming,3.6,"Instructor:
Shannon Davis",1.5,10,Beginner,,,E£269.99,199.99,,6.467676600000001,6.467676600000001USD
Data Structures in C++,Learn and master the popular data structures in C++,2.2,"Instructor:
Nisha Kiran",,28,All Levels,,,E£269.99,199.99,,6.467676600000001,6.467676600000001USD
Tic-Tac-Toe Clone - The Complete Cocos2d-x C++ Game Course,Ultimate Cocos2d-x Game Development Course,3.3,"Instructor:
Frahaan Hussain",3.5,13,Beginner,,,E£269.99,199.99,,6.467676600000001,6.467676600000001USD
"Competitive Programming Essentials, Master Algorithms 2023","Master competitive coding techniques - maths, number theory, dynamic programming, advanced data structures & algorithms",4.5,"Instructors:
Prateek Narang, Apaar Kamal, Coding Minutes",56.5,344,All Levels,,Bestseller,E£999.99,199.99,,6.467676600000001,6.467676600000001USD
15+ Practice Questions With Solutions on C++ course [2022],Learn and Master Modern C++ From Beginning to Advanced.,4.4,"Instructor:
Hoang Quy La",4.5,26,Expert,,,E£269.99,199.99,,6.467676600000001,6.467676600000001USD
C++ Concurrency and Multithreading Quick Start Guide in 2024,"C++20, Multithreading, Concurrency, C++11/14/17, Parallel algorithms, Coroutines, Synchronization, Mutex, Threads, Locks",3.2,"Instructor:
RougeNeuron Academy",2,49,All Levels,,,E£269.99,199.99,,6.467676600000001,6.467676600000001USD
Mastering Qt 5 GUI Programming,"Building and distributing applications for Android, Windows, Linux, and web!",4.4,"Instructor:
Packt Publishing",3.5,27,Expert,,,E£269.99,199.99,,6.467676600000001,6.467676600000001USD
C Programming from scratch- Master C Programming,Mother Language of almost all other programming languages. Pointers explained in detail. Lots of Hands-on sessions.,4.6,"Instructor:
Priyanka Yadav Desai",8.5,60,All Levels,,Bestseller,E£269.99,199.99,,6.467676600000001,6.467676600000001USD
Learn C++ and Make a Game from Scratch,"Complete Game Development Series 04 - Learn the Fundamentals of C++, Git, CMake, and Make a Game from Scratch",5.0,"Instructor:
Jingtian Li",38,173,All Levels,,New,E£849.99,199.99,,6.467676600000001,6.467676600000001USD
Modern C++(STL) and C# Masterclass with Application Develop,"Learn basic C++ concepts, Modern C++, C# and Database (SQL) collectively for application development",5.0,"Instructor:
Tulsidas Patil",w19,74,Beginner,,,E£269.99,199.99,,6.467676600000001,6.467676600000001USD
Dynamic Link Libraries (Windows Programming With C/C++),"Learn all about the DLLs in this course. Explained the Load Time, Run time and delay Linking!!",4.5,"Instructor:
Vikash Shakya",3,16,Expert,,,E£269.99,199.99,,6.467676600000001,6.467676600000001USD
Fundamentals of Object Oriented Programming with C++,Learn C++ syntax basics and modern Object-Oriented Programming techniques and tips,4.7,"Instructors:
Doron Williams, Trevoir Williams",7,68,Beginner,,,E£269.99,199.99,,6.467676600000001,6.467676600000001USD
C++ Compiler design practical (Guided project),Design of a C++ compiler(Guided project),5.0,"Instructor:
Ezeuko Emmanuel",5,30,Intermediate,,,E£999.99,199.99,,6.467676600000001,6.467676600000001USD
Interactive UI Programming with C++ and ImGui,"Learn how to do UI in C++ with Dear ImGui, BGFX and GLFW",4.6,"Instructor:
Hristo Iliev",2.5,39,Beginner,,Highest rated,E£849.99,199.99,,6.467676600000001,6.467676600000001USD
IELTS Complete Preparation for (Academic & General),"Are you taking the IELTS TEST? Then this is the only video course you need*we cover Reading,Writing,Listening & Speaking",4.6,"Instructor:
Christian C C",18.5,56,All Levels,,,E£999.99,199.99,,6.467676600000001,6.467676600000001USD
The Complete C Developer Course - Build 7 Exciting Projects.,Master the C Programming language in 2023 by Building exciting projects from Beginners to Advanced Level students.,4.4,"Instructor:
Prashant Shinde",16,316,All Levels,,,E£269.99,199.99,,6.467676600000001,6.467676600000001USD
The Beginner's guide to Advanced C programming for Linux,"Learn C, improve your CV & stand out from the crowd when applying for developer positions. Become a better Linux admin.",4.7,"Instructor:
dr Jonas Birch, C programming ninja",10.5,36,All Levels,,,E£269.99,199.99,,6.467676600000001,6.467676600000001USD
Masterclass : Linked Lists - Exclusive from Zero to Hero,Let's Play with Linked Lists Programming.,4.6,"Instructor:
Atchyut Kumar",5.5,24,All Levels,,Highest rated,E£269.99,199.99,,6.467676600000001,6.467676600000001USD
Advanced C Programming: Pointers,"Master pointers, addresses and memory allocation in C",4.5,"Instructor:
Huw Collingbourne",4,65,Intermediate,,,E£269.99,199.99,,6.467676600000001,6.467676600000001USD
From start to Finish: Qt & QML Online Multiplayer Game,Learn how to implement an entire Multiplayer game using Qt and QML!,4.5,"Instructor:
Hai Pham",6.5,34,Intermediate,,,E£269.99,199.99,,6.467676600000001,6.467676600000001USD
Learn and Master C Programming For Absolute Beginners!,"Become C code expert in Visual Studio on Windows! Learn about arrays, pointers, files, strings, dynamic memory and more!",4.0,"Instructor:
Mohammad El-Haj",14,150,All Levels,,,E£269.99,199.99,,6.467676600000001,6.467676600000001USD
Complete CMake Project Management [2023],"Learn CMake to manage your C/C++ project! As well as how to manage dependencies, unit tests, tools and more easily.",4.5,"Instructor:
Hristo Iliev",3,71,Intermediate,,,E£999.99,199.99,,6.467676600000001,6.467676600000001USD
C Programming accelerator: Start your journey ->0 to 100%,Improve your Chances of Success with other Languages by 101% . Learn in less than 30 hours from a Friendly,3.7,"Instructor:
Vee Kay",25.5,147,All Levels,,,E£269.99,199.99,,6.467676600000001,6.467676600000001USD
The Complete C & C++ Programming Course - Mastering C & C++,Complete C & C++ Programming Course basic to advanced,4.0,"Instructor:
Sara Academy",4.5,52,Beginner,,New,E£849.99,199.99,,6.467676600000001,6.467676600000001USD
Complete course on Tree - Data Structures,Learn how to implement and how to solve problems on Binary Tree in the simplest way!,4.4,"Instructor:
Sujithkumar MA",5,31,All Levels,,,E£269.99,199.99,,6.467676600000001,6.467676600000001USD
"Deep Dive into Deep Learning 2023 - 24 : C++,Chat GPT & more","Learn currently the most advance technology right now A.I , with combinations of C++,GEN AI ,Chat GPT and lots of things",5.0,"Instructor:
Vijay Veer Singh",31.5,211,Beginner,,New,E£849.99,199.99,,6.467676600000001,6.467676600000001USD
"Deep Dive into Deep Learning 2023 - 24 : C++,Chat GPT & more","Learn currently the most advance technology right now A.I , with combinations of C++,GEN AI ,Chat GPT and lots of things",5.0,"Instructor:
Vijay Veer Singh",31.5,211,Beginner,,New,E£849.99,199.99,,6.467676600000001,6.467676600000001USD
Part B - Networking Projects - Implement TCP/IP Stack in C,"C/C++ Linux Project, Network Socket Programming, Build TCP/IP Stack, Final Year Project, System Programming in C",4.9,"Instructors:
Abhishek CSEPracticals, Shiwani Nigam, Ekta Ekta",8,101,Intermediate,,,E£269.99,199.99,,6.467676600000001,6.467676600000001USD
Multithreading in Modern C++ | C++11 | C++14 | C++17| C++20,C++ Multithreading - Concurrency Parallel Programming - Ultimate Coding Interview Bootcamp -C++11 | C++14 | C++17| C++20,4.3,"Instructor:
Sonali Shrivastava",9,54,All Levels,,,E£269.99,199.99,,6.467676600000001,6.467676600000001USD
Advance C Programming : Pointers (In Depth Hands On),"Mastering Pointer in C Programming with Array of Pointers,1D Arrays, 2D Arrays,Function pointers,Pointers to strings etc",4.6,"Instructor:
Up Degree",11,89,Intermediate,,,E£269.99,199.99,,6.467676600000001,6.467676600000001USD
Algorithms for Job Interviews and Competitive Programming,Quickly understand the most important Algorithms and learn how to use them to solve real Programming Problems.,4.5,"Instructor:
Florian Juengermann",1.5,15,Intermediate,,,E£269.99,199.99,,6.467676600000001,6.467676600000001USD
C Programming - Learn Computer Programming With C Language,Discover your dreams and get into programming industry by learning C programming language,4.5,"Instructor:
Piroz Amin",10.5,101,All Levels,,,E£269.99,199.99,,6.467676600000001,6.467676600000001USD
Cracking the C++ Coding Interview,Learn problem solving with data structures and algorithms for cracking interviews of top product based companies,4.6,"Instructor:
Pratik Singhal",27,194,Beginner,,,E£269.99,199.99,,6.467676600000001,6.467676600000001USD
